ZCTA,IP_COV_DEMAND,2SFCA_60min_inpatient_beds_7_day_avg_interp,E2SFCA_inpatient_beds_7_day_avg_interp,3SFCA_inpatient_beds_7_day_avg_interp,COLLECTION_WEEK
75001,15,2.5108485135197025,3.4717354145989323,2.8114037939449976,2021-03-14
75002,12,2.530883753776695,2.070239505749221,2.286275919779214,2021-03-14
75006,13,2.4941246713241623,3.0430524152399743,2.817719646988034,2021-03-14
75007,11,2.463458783473695,2.9780571690868083,2.61028132851569,2021-03-14
75009,38,2.1200846132008753,1.2639323992449518,1.3267637088192341,2021-03-14
75010,11,2.4568124251242076,2.7600980172482386,2.6340845433764097,2021-03-14
75013,13,2.547397981418971,2.5696595127546993,2.8964530934790558,2021-03-14
75019,13,2.604616213770743,2.8896873645540593,2.1550798613163824,2021-03-14
75020,8,0.9468914929019412,3.1269441249478374,7.6854577757927185,2021-03-14
75021,9,0.8609219144081767,2.393982293061101,6.507278821078655,2021-03-14
75022,11,2.567303967570788,1.8028296899496168,2.3413467536712114,2021-03-14
75023,19,2.635381370985543,2.7939383207412996,3.55770079558776,2021-03-14
75024,15,2.625894185999854,2.855522221845738,3.053025239798473,2021-03-14
75025,15,2.678923752842651,2.516996979886988,2.9560563768209485,2021-03-14
75028,8,2.6663605713443728,2.160905868919806,2.7638110248828194,2021-03-14
75032,15,1.653608250460655,0.8838099359537932,1.4474403279218437,2021-03-14
75034,11,2.473092364267819,2.353978262377091,2.2142492155268516,2021-03-14
75035,13,2.678923752842651,2.252881399646874,2.816366142558223,2021-03-14
75038,7,2.604616213770743,3.0408269261532364,2.0824704489668595,2021-03-14
75039,9,2.621340055966283,3.135426675034788,2.041821878977041,2021-03-14
75040,12,2.0402464060212853,2.2488211258216597,3.26208636801335,2021-03-14
75041,17,2.136119890094623,2.297612739490428,2.506157058841957,2021-03-14
75042,14,2.292518556535809,2.4751439445836962,2.2484062234933693,2021-03-14
75043,18,2.121244784846237,2.1115945917077825,2.1316270444366756,2021-03-14
75044,8,2.124301708276441,2.6869022609608546,2.6931706848253225,2021-03-14
75048,8,1.90508290096197,1.7619978850402478,1.725880822798903,2021-03-14
75050,16,2.6659100496888195,3.1308110677794083,2.0310536235058474,2021-03-14
