ZCTA,IP_COV_DEMAND,2SFCA_60min_inpatient_beds_7_day_avg_interp,E2SFCA_inpatient_beds_7_day_avg_interp,3SFCA_inpatient_beds_7_day_avg_interp,COLLECTION_WEEK
75001,17,3.3575450149580837,4.530032870713607,3.859681342769759,2021-04-04
75002,10,4.207914430933098,2.9571478920010668,4.028787814495951,2021-04-04
75006,10,3.3388073423742575,4.020439072190705,3.8699232082877835,2021-04-04
75007,9,3.298732436007216,3.9802353405423068,3.7862746016902196,2021-04-04
75009,10,3.6550422528335806,2.118637053785103,2.52391696014722,2021-04-04
75010,12,3.290096235935248,3.7281105799938272,3.8283450220949913,2021-04-04
75013,8,4.213242436261103,3.655524754377453,4.782182423639596,2021-04-04
75019,9,3.490230367878165,3.8482832483963225,3.016791409414566,2021-04-04
75020,5,1.9683369469247767,6.992451257730555,14.91806482252396,2021-04-04
75021,8,1.8375822696071393,5.336972658259349,12.529489588278649,2021-04-04
75022,15,3.4415192614391557,2.4203221259210355,3.345027088375988,2021-04-04
75023,15,4.331587638024413,3.8345781575889375,5.384658911991282,2021-04-04
75024,16,3.711800982458826,3.9323397759326495,4.750130336686643,2021-04-04
75025,9,4.392527264009288,3.530831020048284,4.776917599192931,2021-04-04
75028,6,3.5982989224561046,2.9230288824405832,3.996676127762774,2021-04-04
75032,12,2.2832569907572196,1.1512807690056117,2.0454560230619547,2021-04-04
75034,10,3.4887625929457173,3.2332250307832346,3.3715419528654555,2021-04-04
75035,8,4.392527264009288,3.199090823698571,4.706381328927435,2021-04-04
75038,3,3.490230367878165,3.9689081746662467,2.77567414314214,2021-04-04
75039,12,3.5089680404619914,4.050941270138261,2.7119623760886964,2021-04-04
75040,10,2.7661086648961466,2.9484419701549482,4.458032855318577,2021-04-04
75041,12,2.884680617025439,2.9268064117317256,3.1250793333473585,2021-04-04
75042,9,3.096518907485539,3.1904483767960743,2.822931826095874,2021-04-04
75043,17,2.8632309128834272,2.6726658271190105,2.652656894034369,2021-04-04
75044,5,2.875899625289902,3.5519984303663734,3.687582758996543,2021-04-04
75048,7,2.6023605514377905,2.347979096604094,2.381020996781927,2021-04-04
75050,8,3.578412484906436,4.095242230618101,2.6983868906552937,2021-04-04
75051,16,3.461237975686472,3.3788499369252762,2.1990523024642674,2021-04-04
75052,16,3.5720427142485636,3.3453623143222355,2.5435143368077946,2021-04-04
75054,23,3.1647670240127352,2.333670801129917,2.4822533425952873,2021-04-04
75056,11,3.4550655872698224,3.7744811397494953,3.7527897914114074,2021-04-04
75057,9,3.606935122528073,4.0216192924724,4.020086975784467,2021-04-04
75058,11,2.6872001827039105,2.5761848393254296,1.2393282760340203,2021-04-04
75060,6,3.5089680404619914,3.6834962003369105,2.483341571710948,2021-04-04
75061,5,3.5089680404619914,4.0184958835796145,2.833066543682999,2021-04-04
75062,6,3.5089680404619914,4.045991351313386,2.498215393310266,2021-04-04
75063,5,3.490230367878165,3.8573081807032965,3.1921092963003117,2021-04-04
75065,7,3.354862008063308,3.141443982603527,4.470518289826292,2021-04-04
