ZCTA,IP_COV_DEMAND,e2sfca_90min_inpatient_beds_7_day_avg_interp,3sfca_90min_inpatient_beds_7_day_avg_interp
75001,42,1.2919003807699518,1.1337785960515487
75002,21,0.8212671915316914,1.3585229567549837
75006,46,1.1446856704996802,1.106592057226913
75007,37,1.1352378312921683,1.1336785499022846
75009,33,0.5084084355607879,0.6789921665768652
75010,29,1.061925089393693,1.146650233013272
75013,23,1.0157628281273061,1.514325019972542
75019,33,1.0973602385908812,0.903552901656896
75020,30,1.3574773103115176,2.6946625613450625
75021,20,1.0502731759217736,2.3171383487345083
75022,32,0.699932877811996,1.1368533349454881
75023,46,1.0738951918780537,1.5471776607722039
75024,43,1.1097408028846576,1.4218871986745594
75025,35,0.9859914741757992,1.3817796523012742
75028,22,0.841467766116737,1.218961410248895
75032,49,0.34010802430983467,0.6011678370303667
75034,34,0.9138234259675436,0.9515511733460479
75035,25,0.8969152291866679,1.4183648541543106
75038,33,1.1245824109985716,0.8364124557144107
75039,25,1.163231933124277,0.7911981238397531
75040,47,0.8429154343361426,1.2277418830474913
75041,65,0.8437911886160796,0.8794069529218403
75042,42,0.912711905006585,0.8118270708315806
75043,68,0.7743491252092428,0.741888522669053
75044,32,1.014511230803381,1.0920204829925775
75048,40,0.6727537281978778,0.7019212801943733
75050,52,1.129479061891049,0.7015137112607456
75051,63,0.9290209694665201,0.5767936435524089
75052,60,0.9123987754314167,0.6714462286823031
75054,92,0.6304449045817103,0.6666208350209377
75056,28,1.073585546624364,1.1203674525555851
75057,17,1.1558237617246008,1.1926370205140664
75058,30,0.4980118240831278,0.18503488664358148
75060,35,1.0481324794489038,0.7061372993364868
75061,33,1.1428874765253363,0.7955060758012612
75062,34,1.1508994921118874,0.7576126989884919
75063,11,1.1005563272147028,0.9131344835255328
75065,27,0.8912519995917546,1.3309606898009958
75067,27,1.0964228912267993,1.0466976328964424
75068,25,0.5901896167006266,0.6001733449104071
75069,19,0.9136896496021812,1.500055359245599
75070,37,0.8723371898163982,1.558961497429104
75071,34,0.776242637155305,1.5236625256856589
75074,41,1.01465060190873,1.2456547118188088
75075,55,1.1074663411545667,1.4751027208315703
75076,39,0.6806578086485496,0.9473564817682091
75077,19,0.8501336919036969,1.2555335528853402
75078,37,0.6194323139241154,0.7494895430756404
75080,57,1.135850486412728,1.1287360654756293
75081,41,1.1152562165193887,1.0886974273953385
75082,7,1.1190342162917728,1.2091488312188912
75087,42,0.42727336509199787,0.6868327864100008
75088,60,0.6449409374974698,0.7839794310699556
75089,55,0.7570391457757035,0.7899420077633518
75090,26,1.3980388345854766,1.6872434637684
75092,17,1.4033936281744035,1.5182169998324235
75093,38,1.1144721392273873,1.3493617207939201
75094,20,0.7543548785094584,1.230971433528341
75098,35,0.5299247206520944,0.8161868803045861
75102,5,0.07192478721624634,0.13189128026217414
75103,51,0.08651496720987913,0.08245447244753064
75104,84,0.7174418466230127,0.5433157745265453
75109,23,0.0997818557720535,0.12594307566823618
75110,15,0.17712043080153683,0.3391688781258342
75114,32,0.289210266050202,0.26100247228954226
75115,86,0.4786419185016113,0.3993112707915167
75116,97,0.7610449473517016,0.5534288461315512
75117,39,0.04919668307032106,0.05321788706571032
75119,38,0.23137686276506267,0.47016767184272157
75124,30,0.318898980841857,0.6645195180406354
75125,74,0.40981891627545786,0.3404454013646229
75126,55,0.43158803356146447,0.37241494805416353
75127,30,0.06762928995474547,0.07776087310826155
75134,72,0.6183580286280601,0.42384564369662314
75135,22,0.44564890132644863,0.44548428436027476
75137,71,0.7540948180245616,0.5046154107896723
75140,31,0.08388763654078132,0.08780473989344637
75141,73,0.7048718996380556,0.5009125271771212
75142,44,0.13613121560084923,0.4656958999635751
75143,50,0.04056062128636846,0.04785968931057412
75144,13,0.18248542434308893,0.12592794672829738
75146,83,0.5417799445225253,0.46100679446397325
75147,38,0.16882085770241603,0.31066767987747473
75148,19,0.36368045947843414,0.639362108249087
75149,74,0.8109292833051078,0.5662423552692731
75150,76,0.9156229522443983,0.9176016355442965
75152,41,0.23310117413600903,0.3617097066793145
75154,61,0.49383929132912174,0.4908926908455819
75155,25,0.14507548150111238,0.21637375443671297
75156,38,0.12795734451138097,0.04785968931057412
75158,12,0.048868111890657685,0.2309772449669229
75159,66,0.4552478978530914,0.4313029570185195
75160,45,0.20515208139875457,0.2419777451026857
75161,66,0.11676250665878697,0.16249709792619882
75163,21,0.23030348932681102,0.3779176055781207
75165,47,0.2925884889157074,0.6504684703771291
75166,33,0.34384235187060214,0.5475520452288029
75167,54,0.2637394956917371,0.7191321018187905
75169,38,0.046950246332766316,0.047641876459792856
75172,92,0.5293792011969505,0.3424123990485146
75173,54,0.23837713794685206,0.2946571588224425
75180,92,0.7553039290118226,0.5784253613245856
75181,61,0.5146420009522074,0.5299724126174927
75182,34,0.6089365422151658,0.6801457412484541
75189,51,0.3423921539485106,0.40269645478687394
75201,116,1.3119862807212634,0.9493101334363695
75202,43,1.3260869640155213,0.9512166592265585
75203,133,1.1576428920779376,0.9312457688417233
75204,101,1.307018939480691,0.9943908299210413
75205,110,1.2433045338553286,1.076609580972852
75206,83,1.210126270164581,1.0834127525214452
75207,116,1.2626613847516335,0.9576422702954401
75208,125,1.1205882546088768,0.9354609503562518
75209,76,1.1774721857752668,0.8896478962998188
75210,119,1.0225715081366615,0.8352023107094606
75211,112,1.004647455498734,0.650198834919517
75212,78,1.088685289459081,0.7720066900961305
75214,90,1.0394848604473397,1.0117772796287368
75215,143,1.0995415017035683,0.9716804477346861
75216,116,0.8845516358116381,0.6278346978960109
75217,113,0.7343277773453392,0.6753735149490591
75218,66,0.9544067168452349,0.9145602740012266
75219,117,1.2750779536152292,0.9341486920771951
75220,82,1.1509000986482358,0.8423328010950184
75223,134,1.0913247976320917,0.8984854109511025
75224,119,0.9962007512336448,0.6886822018778548
75225,65,1.2282605040987573,1.1091597018815695
75226,133,1.2438907526333296,0.9970201384324755
75227,103,0.8295944932342694,0.7553390281867958
75228,86,0.9042595770221233,0.91056514052712
75229,62,1.1666237852760055,0.9781659645137044
75230,59,1.2587025030249244,1.2442006593927226
75231,95,1.1155791903648016,1.0116015035551655
75232,96,0.8459699809968444,0.6947801260545977
75233,117,0.8912444857581011,0.6443815245842628
75234,41,1.279625375046217,0.9952074769209843
75235,135,1.2054556740536153,0.9315528257898276
75236,83,0.8221000930919167,0.5537348099784517
75237,92,0.8714780501156892,0.6563077696056357
75238,77,1.0956608989320076,0.901146736092991
75240,80,1.2885857883325467,1.259841219936563
75241,98,0.7502650867082402,0.6371055142969593
75243,79,1.1927919957109019,1.26516798732599
75244,92,1.3505516539783122,1.2059965115909632
75246,159,1.203739384713899,0.9948124435439742
75247,6,1.269487745452922,0.9710148423256938
75248,63,1.1850344593344793,1.1449962861457441
75249,86,0.8044822257061613,0.5171337869406213
75251,59,1.3489481168160635,1.215426525542982
75252,47,1.2475872946424145,1.35712959431936
75253,101,0.5751058365448829,0.4109243988451389
75254,39,1.259157654563157,1.1887804257186698
75287,37,1.2993657189563774,1.2774299909668225
75401,30,0.4964404188970241,1.003691555092122
75402,26,0.5111700205404024,0.9173537289111646
75407,26,0.5198749279526905,1.5545660782499273
75409,28,0.6983027744733268,0.7782792539342921
75410,31,0.18347366713121874,0.19666480613810122
75411,19,0.5327911507558605,0.5955093178523378
75414,21,0.9128228647996772,0.8455768711078437
75416,22,0.828449222156538,1.0054781055976367
75417,21,0.34216646993733973,0.06405880368775412
75418,20,0.6629656236850535,0.834575587862393
75420,19,0.37771241384486165,0.7523812738436182
75421,0,0.9409165681147971,1.0022217430868547
75422,13,0.4496819321451087,0.9419910780192015
75423,29,0.21754798633893524,0.4796570765057562
75424,21,0.2925373251908129,0.09327277188403447
75426,37,0.19333905575336557,0.08615828939584591
75428,23,0.43276339850165135,0.4189424562250115
75431,6,0.4685635345159936,0.4456419817789348
75432,13,0.664770209142044,0.8845047321359516
75433,36,0.5775744845000593,0.6674726348217991
75435,22,0.670401674061931,0.49846422373872445
75436,0,0.5790031927209496,0.5464388882771982
75437,5,0.3827436162343026,0.69996917751308
75438,0,0.5618637395744739,0.6028817266468354
75439,0,0.6923564667799477,0.3478749357040452
75440,47,0.17369068321221573,0.050468808057169065
75442,38,0.4250425599380377,0.7365140083958899
75446,17,0.5477930557451248,0.4284673357332006
75447,34,0.13920451194752836,0.3129171939737241
75449,0,0.1534145214485456,0.07454402428951978
75451,0,0.2963394026835824,0.08781176166185181
75452,25,0.25260006990401956,0.11745968154737685
75453,9,0.2502280998014228,0.4438065788569666
75454,30,0.6744954257453726,1.031187998888221
75455,22,1.0688249960960032,1.438163051637931
75457,29,0.9469080452232669,0.8980349889357273
75459,35,1.1504651360375682,1.353909664034341
75460,23,1.203588370039291,1.3540055680854104
75462,17,1.1390916667974214,1.3540055680854104
75468,19,0.5558989431873792,0.5464388882771982
75471,0,0.36629598199352903,0.32896870072071893
75472,25,0.14589784766177602,0.05020537197281164
75473,19,0.9220103743642585,1.0561204636100845
75474,53,0.1518367409987824,0.38719868612644853
75476,0,0.1815349588627409,0.3129171939737241
75479,21,1.0278115739225115,0.6836346546293023
75480,18,0.16625084173532748,0.020004253133379318
75482,10,0.9319082150068132,2.1662348777581792
75486,27,0.4079741112255667,0.5955093178523378
75487,30,0.3807719756704983,0.7857633849962727
75488,21,0.040484770853711764,0.044877802364725855
75489,21,0.7092151403454734,0.7611303699705164
75490,20,0.3972564893691597,0.2241411436545494
75491,35,0.46407278355661613,0.1258096615216927
75494,26,0.26262634331495144,0.05109533116917472
75495,22,0.8717790130021583,0.9305680593484169
75496,20,0.18405641669705738,0.07727762800954702
75497,22,0.4473068948341581,0.48507424063969773
75501,84,1.4385115054405222,1.4584599850162547
75503,87,1.5905490914343834,1.8196240703750977
75551,70,0.3590848432696158,0.07944304673155314
75554,64,0.097803703642393,0.08212914379727024
