ZCTA,IP_COV_DEMAND,2SFCA_60min_inpatient_beds_7_day_avg_interp,E2SFCA_inpatient_beds_7_day_avg_interp,3SFCA_inpatient_beds_7_day_avg_interp,COLLECTION_WEEK
75001,19,1.2510192007093308,1.6522209378218051,1.506043428540185,2020-08-16
75002,11,1.419323004101437,0.9616984978157673,1.5143256438481418,2020-08-16
75006,23,1.2408359013203287,1.4919112162630115,1.4987510160912492,2020-08-16
75007,16,1.2285023343967127,1.4809741956375158,1.5816382350163563,2020-08-16
75009,24,1.225097129108386,0.6304437581757617,0.913756653098817,2020-08-16
75010,14,1.2285023343967127,1.3877700839538933,1.6005232380337076,2020-08-16
75013,20,1.4235751301644686,1.2107096723068247,1.8576185915293806,2020-08-16
75019,26,1.2922361752096743,1.4881945385684305,1.2943017500257163,2020-08-16
75020,30,0.5922928146466244,1.5362793955661889,2.7616932932346785,2020-08-16
75021,23,0.5575431543642606,1.1738814739314172,2.3043921065792046,2020-08-16
75022,27,1.2799026082860583,0.9769940068300036,1.6447383039532615,2020-08-16
75023,18,1.458277049574663,1.299467896582573,2.0134506632835296,2020-08-16
75024,31,1.3475414784726722,1.3860622899355615,1.869775895516161,2020-08-16
75025,15,1.482302497144429,1.2014409725596873,1.8553666486230072,2020-08-16
75028,10,1.3280456619311753,1.1682461243804445,1.85653542049701,2020-08-16
75032,27,0.8293392256510601,0.3859065014536964,0.6143459640136275,2020-08-16
75034,15,1.2791847304246697,1.1435944632210604,1.2939408009773288,2020-08-16
75035,14,1.482302497144429,1.1008038370690447,1.8682991422965898,2020-08-16
75038,15,1.2922361752096743,1.5536319483035368,1.1842418594474733,2020-08-16
75039,11,1.3024194745986764,1.573759436479174,1.1528622595757638,2020-08-16
75040,24,1.028530698914088,0.9928919964956443,1.4814211860705058,2020-08-16
75041,37,1.0732060845704254,1.004477117767402,0.9869679745472701,2020-08-16
75042,26,1.1320472835818347,1.0945706143015352,0.9150200714536911,2020-08-16
75043,56,1.0650410652322218,0.9242680507985516,0.8869616917437099,2020-08-16
75044,18,1.0636304180289309,1.2138299695189576,1.2935205229297637,2020-08-16
75048,15,0.9772430865172461,0.7858951472003032,0.8053416875573046,2020-08-16
75050,35,1.32555347721762,1.5979755778897498,1.1317990024759534,2020-08-16
75051,35,1.2963807487437011,1.31334995503237,0.9065403932201038,2020-08-16
75052,33,1.340077067770534,1.293049209237352,1.049420721093216,2020-08-16
75054,83,1.2039623959390993,0.8973845085390865,0.9784040466029756,2020-08-16
75056,17,1.3099160403708003,1.385491516932302,1.5151099150844545,2020-08-16
75057,10,1.3280456619311753,1.5640030496116828,1.7140088108548375,2020-08-16
75058,16,0.8082683873652846,0.6045899105805499,0.27692474529358313,2020-08-16
75060,20,1.3024194745986764,1.4464667595248948,1.092222540926314,2020-08-16
75061,15,1.3024194745986764,1.575491992800004,1.1585412515734377,2020-08-16
