ZCTA,IP_COV_DEMAND,2SFCA_60min_inpatient_beds_7_day_avg_interp,E2SFCA_inpatient_beds_7_day_avg_interp,3SFCA_inpatient_beds_7_day_avg_interp,COLLECTION_WEEK
75001,17,3.345449048085703,4.5703441545495185,3.634789044076724,2022-07-03
75002,7,3.242914646930726,2.902800535471524,3.5832291168836345,2022-07-03
75006,11,3.3331413557780105,4.005968642758081,3.6328418842451318,2022-07-03
75007,13,3.28639016718847,3.9510312842192614,3.3759593317247436,2022-07-03
75009,11,2.7286887816232666,1.7145287777477336,2.4821657999025444,2022-07-03
75010,10,3.2797235005218037,3.7073549695776356,3.416804040731484,2022-07-03
75013,8,3.2604283831944625,3.570383976673334,4.318394797496258,2022-07-03
75019,7,3.429567689170536,3.8293986243041163,2.9447672818687955,2022-07-03
75020,11,1.0902180050726051,2.954342972763783,6.3689120802383155,2022-07-03
75021,11,0.9517593283734087,2.2443264851547697,5.3464557277561156,2022-07-03
75022,5,3.3761498339143285,2.3850504277832543,3.3880703157848187,2022-07-03
75023,12,3.3623548280280877,3.831501309838728,4.917008125586461,2022-07-03
75024,13,3.518735648450825,3.9203734713712812,4.356856111881251,2022-07-03
75025,10,3.4374113820412595,3.509972831229388,4.347164035311796,2022-07-03
75028,8,3.4434012959026328,2.8576875283660996,3.8095764563853747,2022-07-03
75032,9,2.13584518192787,1.1609369544891004,1.9445812803268203,2022-07-03
75034,6,3.308090673758128,3.2555051591559994,3.0879064614371936,2022-07-03
75035,9,3.4374113820412595,3.201047161045595,4.220064056898329,2022-07-03
75038,9,3.429567689170536,3.9421818907373116,2.939228688842215,2022-07-03
75039,8,3.441875381478228,4.083625119377388,2.798104150908747,2022-07-03
75040,6,2.672959467426328,3.013977305902686,4.32206810040406,2022-07-03
75041,14,2.791831359391106,3.009551286869187,3.1870923733196475,2022-07-03
75042,9,3.0334427776398036,3.2631890389768152,2.824854943746114,2022-07-03
75043,9,2.7651094926240756,2.7483686875637483,2.80637373800033,2022-07-03
75044,6,2.7829929755527223,3.606118774241219,3.560056027894175,2022-07-03
75048,5,2.506768097739426,2.3882037264265623,2.3257777136807625,2022-07-03
75050,15,3.493357440760599,4.000649047701845,2.5410091738372214,2022-07-03
75051,13,3.3659421917125507,3.278708628706519,2.1334016656910415,2022-07-03
75052,21,3.4485284500617963,3.1734570592687072,2.283925022596749,2022-07-03
75054,26,3.0216089248918463,2.1830365942604244,2.182269524455709,2022-07-03
75056,12,3.3237374968796605,3.750185399053658,3.3770746727127996,2022-07-03
75057,6,3.450067962569299,3.969628254286199,3.797813191905922,2022-07-03
75058,27,1.7011526538598427,1.2898141363309445,0.6057487933086224,2022-07-03
