ZCTA,IP_COV_DEMAND,2SFCA_60min_inpatient_beds_7_day_avg_interp,E2SFCA_inpatient_beds_7_day_avg_interp,3SFCA_inpatient_beds_7_day_avg_interp,COLLECTION_WEEK
75001,7,7.705371138712037,10.069277582541735,7.901242747531839,2022-04-10
75002,4,6.901304476350308,5.665779711400993,5.762641980948327,2022-04-10
75006,4,7.683463922217192,8.642510933876967,7.411449576883429,2022-04-10
75007,0,7.570463922217192,8.410995034591988,6.920101886724037,2022-04-10
75009,11,5.855059380993845,3.1206671835766087,3.491252773035107,2022-04-10
75010,3,7.548867678085736,7.74507746930345,7.000299096991736,2022-04-10
75013,6,6.942695204827129,6.990112585448827,7.490738141328006,2022-04-10
75019,17,7.923943892011997,8.317987495518954,5.553917836807165,2022-04-10
75020,6,1.8717635625674118,5.182109894153794,11.967597938042703,2022-04-10
75021,7,1.6176102596118282,3.922125126416954,10.077918153923715,2022-04-10
75022,7,7.7893476478805415,5.078310622037245,5.0792813666049765,2022-04-10
75023,4,7.19710326528053,7.745171919389281,9.372326571694748,2022-04-10
75024,5,7.853780517033507,7.996926244369068,8.391142574268393,2022-04-10
75025,8,7.3587519469460085,6.888134770945003,7.732885399123004,2022-04-10
75028,3,7.944109552642447,6.022442744090113,6.122190540985927,2022-04-10
75032,5,4.896195490188102,2.467443703960654,4.097670915639082,2022-04-10
75034,7,7.451847358448973,6.589405725738266,5.743436649373416,2022-04-10
75035,9,7.3587519469460085,6.213817654301689,7.339019936962333,2022-04-10
75038,7,7.923943892011997,9.32809463060092,6.577387935886128,2022-04-10
75039,4,7.945851108506842,9.478109921047148,6.023638960148426,2022-04-10
75040,3,6.008760667071437,6.3470131990594965,8.60350606637471,2022-04-10
75041,5,6.31000293949191,6.605646256176285,6.922192051247558,2022-04-10
75042,4,6.875487719308609,7.075177120862114,6.190706627096636,2022-04-10
75043,5,6.2488327267259525,6.12044445779952,6.201237506958361,2022-04-10
75044,1,6.287955695397422,7.620328277814676,7.4116479029929305,2022-04-10
75048,2,5.599961878141215,4.9125803069048715,4.752708807845291,2022-04-10
75050,2,8.104942017597752,9.928746065616927,6.54168889837259,2022-04-10
75051,6,7.828299812455345,8.299277127341133,5.564134348567822,2022-04-10
75052,5,8.110715118329097,8.26216069449463,6.8935960015378175,2022-04-10
75054,8,7.218625751476505,5.881423117975175,7.3284519718940535,2022-04-10
