ZCTA,IP_COV_DEMAND,2SFCA_60min_inpatient_beds_7_day_avg_interp,E2SFCA_inpatient_beds_7_day_avg_interp,3SFCA_inpatient_beds_7_day_avg_interp,COLLECTION_WEEK
75001,8,5.980743727913299,8.667341298364864,7.038053393547389,2022-06-05
75002,5,5.753431246863162,5.108391552395629,5.154165185149162,2022-06-05
75006,7,5.95932320931127,7.36543053503609,6.439320811431768,2022-06-05
75007,6,5.871731968435357,7.148100701720782,5.784391793821019,2022-06-05
75009,13,4.887803363464759,2.918822370852564,3.1705151198782313,2022-06-05
75010,10,5.856632448874616,6.557911329314404,5.839280210849715,2022-06-05
75013,7,5.781727453967316,6.25260719634178,6.466368358566274,2022-06-05
75019,13,6.118103699592969,6.853135612303094,4.630839738523696,2022-06-05
75020,4,1.7958636817680302,5.684993479979107,14.79786981079126,2022-06-05
75021,5,1.5729342596850462,4.312354912635941,12.524918680283939,2022-06-05
75022,8,6.015412939156315,4.12291437706876,3.9724171187110304,2022-06-05
75023,7,5.968614708869277,6.888440510429862,8.240438952230294,2022-06-05
75024,8,6.234338631667921,7.004136743550199,7.084396115068793,2022-06-05
75025,16,6.100920556362542,6.10335443396945,6.614534568053683,2022-06-05
75028,5,6.1840175903191055,4.944805702471031,4.8785107965945445,2022-06-05
75032,8,3.974894427127134,2.2528210305935397,3.583352440841912,2022-06-05
75034,10,5.868542041479792,5.76600884066823,4.894838820780343,2022-06-05
75035,9,6.100920556362542,5.492326109373007,6.2066768635664324,2022-06-05
75038,7,6.118103699592969,7.3580918229506524,5.55269780975086,2022-06-05
75039,5,6.139524218194998,7.755450765014175,5.206001896778326,2022-06-05
75040,3,4.815669741180895,5.683860794462915,7.993832733461316,2022-06-05
75041,6,5.040839724218998,5.8780624857588055,6.649097113096032,2022-06-05
75042,4,5.450340999172479,6.281611022394565,5.9264646171776185,2022-06-05
75043,5,4.991353863036478,5.436323976113609,5.883442941877823,2022-06-05
75044,1,5.0245984249150535,6.781471151642789,6.85048222499624,2022-06-05
75048,1,4.512895038298868,4.414332982880692,4.3219765475459955,2022-06-05
75050,8,6.229160072536734,7.36783148813069,4.428131085061855,2022-06-05
75051,11,6.01339263614301,6.0573852340200505,3.6246998093952896,2022-06-05
75052,15,6.167274300540613,5.751521460219367,4.077887469320397,2022-06-05
75054,20,5.435204292702254,3.910936928192914,3.34412258908324,2022-06-05
75056,6,5.915252208376015,6.532655566463928,5.296168324000351,2022-06-05
75057,3,6.199117109879847,7.040921685213906,5.7612088149273895,2022-06-05
75058,16,2.9205877164429337,2.3623881680503915,1.2015556862147825,2022-06-05
75060,3,6.139524218194998,7.07578520223279,5.258116094756426,2022-06-05
75061,5,6.139524218194998,7.694032865890447,6.058340624925136,2022-06-05
75062,4,6.139524218194998,7.665967340129963,5.0285048486888915,2022-06-05
75063,3,6.118103699592969,7.169676829948825,6.15847762597101,2022-06-05
75065,5,5.857441765199183,5.314161014604158,5.709323882927383,2022-06-05
75067,5,6.199117109879847,6.634316575186561,4.942090950217937,2022-06-05
75068,6,4.330944205977124,3.5763782497171146,2.977969536970016,2022-06-05
75069,9,5.613813108438341,5.372943991075478,5.4213300256476,2022-06-05
75070,14,5.753431246863162,5.254671792935119,5.964033822711833,2022-06-05
75071,19,5.45863949274261,4.4859620988300835,5.540216809291702,2022-06-05
75074,2,5.968614708869277,6.575905400658385,6.896187350239844,2022-06-05
75075,8,4.993040193894673,7.182097905395851,8.613678884313968,2022-06-05
75076,5,1.430561378329114,2.9368970283208045,5.3494511107403495,2022-06-05
