ZCTA,IP_COV_DEMAND,2SFCA_60min_inpatient_beds_7_day_avg_interp,E2SFCA_inpatient_beds_7_day_avg_interp,3SFCA_inpatient_beds_7_day_avg_interp,COLLECTION_WEEK
75001,15,1.4641936586414204,1.8490597940678846,1.6064218906567136,2020-08-30
75002,11,1.4598778269063297,1.041595348313934,1.5149467224193427,2020-08-30
75006,21,1.454410290367486,1.6608217285253506,1.5920960988998374,2020-08-30
75007,16,1.4391197704898102,1.6430497912556261,1.6655096796426656,2020-08-30
75009,40,1.2455555536517358,0.6329684217759975,0.9329880478787583,2020-08-30
75010,14,1.4391197704898102,1.5416007375892178,1.6857459497311802,2020-08-30
75013,19,1.4656829409353551,1.3115490219268573,1.8547789427759296,2020-08-30
75019,26,1.5220353935351079,1.6905468363791833,1.412686965676968,2020-08-30
75020,45,0.49032465997754837,1.1491629455321415,2.0649649296518384,2020-08-30
75021,39,0.44973543699609597,0.8781991452007699,1.7440903250763282,2020-08-30
75022,24,1.506744873657432,1.0962761359519633,1.7060300685460872,2020-08-30
75023,17,1.5086604690252428,1.4109164211926108,2.030434695158629,2020-08-30
75024,30,1.5188182856655579,1.5108037928142317,1.9053141053875455,2020-08-30
75025,14,1.5351753380103323,1.3028783927769982,1.86495137755577,2020-08-30
75028,7,1.5401550119062801,1.304366634161935,1.927677394187361,2020-08-30
75032,26,0.9419974677248321,0.4229659812220822,0.6516494957196483,2020-08-30
75034,15,1.4460837384412528,1.2587074910905152,1.38145983613911,2020-08-30
75035,16,1.5351753380103323,1.2021501277567002,1.875804182288042,2020-08-30
75038,11,1.5220353935351079,1.842650011484959,1.393256315129284,2020-08-30
75039,8,1.5318187618090422,1.8243146625645752,1.3221569889055007,2020-08-30
75040,22,1.166638439176973,1.0874684836510666,1.5510518964953566,2020-08-30
75041,32,1.2185608204575957,1.1180472672522093,1.0776055716703283,2020-08-30
75042,23,1.2971372175050055,1.2176785566567405,0.9977238561304069,2020-08-30
75043,58,1.2101885776625547,1.0289113309521452,0.9449341000056122,2020-08-30
75044,16,1.2084263437474028,1.3321165312918806,1.3514601870867975,2020-08-30
75048,12,1.102565277180384,0.8521701293916819,0.8352956958162479,2020-08-30
75050,26,1.5621759046661852,1.979113437841361,1.4806729807114012,2020-08-30
75051,26,1.5217444139991947,1.639807541413159,1.1674141056892937,2020-08-30
75052,24,1.5800404076734171,1.6616673217971802,1.4063552477185755,2020-08-30
75054,91,1.4170725816154326,1.1809463984519557,1.310363946675384,2020-08-30
75056,16,1.4838767587072075,1.536960343822527,1.6110148497134944,2020-08-30
75057,6,1.5401550119062801,1.7535938505623576,1.8346879689026832,2020-08-30
75058,30,0.7348618630386862,0.4807303578586311,0.2034208385058386,2020-08-30
75060,17,1.5318187618090422,1.7330418718054719,1.318919918811148,2020-08-30
75061,12,1.5318187618090422,1.889353635676909,1.3964378459228666,2020-08-30
75062,21,1.5318187618090422,1.9109692409844925,1.2940228427926437,2020-08-30
75063,3,1.5220353935351079,1.7119499404710818,1.473143784157512,2020-08-30
75065,14,1.4351467311685648,1.3952420128917118,2.1088423589844867,2020-08-30
75067,13,1.5401550119062801,1.706547335143103,1.6944402914119314,2020-08-30
75068,11,1.0646268485589703,0.856257360523207,0.9737232612570187,2020-08-30
75069,12,1.4110070330784805,1.1474610045552374,1.769396390366304,2020-08-30
75070,40,1.4598778269063297,1.123299073571055,1.8932754432207268,2020-08-30
75071,33,1.374662646313359,0.9687288517793409,1.850550897622436,2020-08-30
75074,15,1.5086604690252428,1.3218940883782742,1.5787718149425736,2020-08-30
75075,18,1.2414642558120426,1.473231886754809,1.9470879829782113,2020-08-30
75076,34,0.42952661247605556,0.5736228773627476,0.7447862277343424,2020-08-30
75077,7,1.4351467311685648,1.3002894805516072,1.8532556724253098,2020-08-30
75078,36,1.3806225816224449,0.8396708973241924,1.0315639016980473,2020-08-30
75080,39,1.5045732883682514,1.5354078320438336,1.4365059331762116,2020-08-30
75081,21,1.5089506468588176,1.5083809407552529,1.3972211314175478,2020-08-30
75082,3,1.2905665095348933,1.4752836604097452,1.5339394351024849,2020-08-30
75087,21,0.9419974677248321,0.5316609482249057,0.7993258943272076,2020-08-30
75088,33,1.15215577659516,0.8233238435313672,0.9451032252598244,2020-08-30
75089,35,1.166638439176973,0.9664500150401905,0.9549883479339666,2020-08-30
75090,38,0.5221034964785494,1.1977241297856995,1.3861967140800124,2020-08-30
75092,31,0.5221034964785494,1.2072308564815235,1.2446136035589421,2020-08-30
75093,15,1.4170271127973926,1.531685925907895,1.8794435697054177,2020-08-30
75094,8,1.1749220746939402,0.9621010294605132,1.509342281635128,2020-08-30
75098,19,0.9807646430411019,0.6624467715236849,1.0030304428949346,2020-08-30
75102,9,0.18641372568444864,0.24872135749488652,0.44676995349976,2020-08-30
75103,39,0.750278527677552,0.08309684609141728,0.09958204403384273,2020-08-30
75104,44,1.5268554095775928,1.19071286854284,0.9554402491577787,2020-08-30
75105,0,0.24429451149389259,0.1657404723649467,0.07048125786284622,2020-08-30
75109,17,0.2663120360846647,0.31774196695665546,0.38785330121812855,2020-08-30
75110,17,0.3070750292573282,0.5489536600793878,1.121030985931517,2020-08-30
75114,44,1.0136439832066058,0.3868834464571387,0.2541652306934864,2020-08-30
75115,46,1.4407829951357716,0.7516919779593565,0.6400124954387293,2020-08-30
75116,35,1.5350133381659077,1.2690784009888336,0.9600652357731998,2020-08-30
75117,30,0.0628206373979115,0.055073084043320654,0.04521199517598596,2020-08-30
75119,16,0.8540882806691863,0.45031070359028313,1.065527472444284,2020-08-30
