"COLLECTION_WEEK","THCIC_ID","inpatient_beds_7_day_avg_interp"
"2022-04-03","000102",578
"2022-04-03","000105",858
"2022-04-03","000112",47
"2022-04-03","001000",283
"2022-04-03","006000",38
"2022-04-03","007000",513
"2022-04-03","008001",0
"2022-04-03","014000",20
"2022-04-03","019000",169
"2022-04-03","023000",22
"2022-04-03","026000",21
"2022-04-03","029000",39
"2022-04-03","030000",11
"2022-04-03","034000",46
"2022-04-03","035000",445
"2022-04-03","038001",28
"2022-04-03","041000",0
"2022-04-03","044000",15
"2022-04-03","046000",25
"2022-04-03","047000",174
"2022-04-03","049000",0
"2022-04-03","058000",0
"2022-04-03","059000",0
"2022-04-03","061000",59
"2022-04-03","063000",36
"2022-04-03","064000",357
"2022-04-03","066000",0
"2022-04-03","070000",17
"2022-04-03","072000",0
"2022-04-03","074000",54
"2022-04-03","075000",0
"2022-04-03","076000",137
"2022-04-03","078000",42
"2022-04-03","084000",17
"2022-04-03","085000",122
"2022-04-03","089001",0
"2022-04-03","091001",0
"2022-04-03","094000",0
"2022-04-03","095003",117
"2022-04-03","098000",24
"2022-04-03","100093",0
"2022-04-03","103000",0
"2022-04-03","106001",0
"2022-04-03","106100",0
"2022-04-03","113000",23
"2022-04-03","114001",1864
"2022-04-03","117000",853
"2022-04-03","118000",447
"2022-04-03","124000",827
"2022-04-03","124100",37
"2022-04-03","129000",134
"2022-04-03","130000",144
"2022-04-03","137000",62
"2022-04-03","140002",492
"2022-04-03","141000",30
"2022-04-03","142000",220
"2022-04-03","143000",260
"2022-04-03","143001",70
"2022-04-03","144000",82
"2022-04-03","145000",648
"2022-04-03","146000",38
"2022-04-03","151000",0
"2022-04-03","154000",2101
"2022-04-03","155000",167
"2022-04-03","156000",23
"2022-04-03","158000",1010
"2022-04-03","168000",500
"2022-04-03","180000",0
"2022-04-03","181000",239
"2022-04-03","182000",159
"2022-04-03","187000",46
"2022-04-03","193000",0
"2022-04-03","199000",0
"2022-04-03","206100",156
"2022-04-03","207001",222
"2022-04-03","208100",16
"2022-04-03","212000",349
"2022-04-03","214000",480
"2022-04-03","216001",49
"2022-04-03","217000",0
"2022-04-03","219000",95
"2022-04-03","222000",0
"2022-04-03","228001",310
"2022-04-03","229000",211
"2022-04-03","230000",90
"2022-04-03","235000",687
"2022-04-03","246000",269
"2022-04-03","255000",283
"2022-04-03","256000",38
"2022-04-03","262000",0
"2022-04-03","263000",302
