"COLLECTION_WEEK","THCIC_ID","inpatient_beds_7_day_avg_interp"
"2021-04-11","000102",631
"2021-04-11","000105",796
"2021-04-11","000112",42
"2021-04-11","001000",295
"2021-04-11","006000",34
"2021-04-11","007000",513
"2021-04-11","008001",0
"2021-04-11","014000",25
"2021-04-11","019000",180
"2021-04-11","023000",30
"2021-04-11","026000",24
"2021-04-11","029000",49
"2021-04-11","030000",38
"2021-04-11","034000",58
"2021-04-11","035000",523
"2021-04-11","038001",31
"2021-04-11","041000",0
"2021-04-11","044000",63
"2021-04-11","046000",0
"2021-04-11","047000",265
"2021-04-11","049000",0
"2021-04-11","058000",0
"2021-04-11","059000",10
"2021-04-11","061000",68
"2021-04-11","063000",48
"2021-04-11","064000",343
"2021-04-11","066000",0
"2021-04-11","070000",28
"2021-04-11","072000",0
"2021-04-11","074000",52
"2021-04-11","075000",0
"2021-04-11","076000",138
"2021-04-11","078000",39
"2021-04-11","084000",24
"2021-04-11","085000",123
"2021-04-11","089001",0
"2021-04-11","091001",0
"2021-04-11","094000",0
"2021-04-11","095003",152
"2021-04-11","098000",23
"2021-04-11","100093",0
"2021-04-11","103000",43
"2021-04-11","106001",0
"2021-04-11","106100",0
"2021-04-11","113000",8
"2021-04-11","114001",1762
"2021-04-11","117000",813
"2021-04-11","118000",477
"2021-04-11","124000",908
"2021-04-11","124100",40
"2021-04-11","129000",162
"2021-04-11","130000",203
"2021-04-11","137000",80
"2021-04-11","140002",852
"2021-04-11","141000",26
"2021-04-11","142000",277
"2021-04-11","143000",327
"2021-04-11","143001",72
"2021-04-11","144000",146
"2021-04-11","145000",491
"2021-04-11","146000",91
"2021-04-11","151000",0
"2021-04-11","154000",2114
"2021-04-11","155000",158
"2021-04-11","156000",52
"2021-04-11","158000",722
"2021-04-11","168000",626
"2021-04-11","180000",0
"2021-04-11","181000",242
"2021-04-11","182000",159
"2021-04-11","187000",30
"2021-04-11","193000",0
"2021-04-11","199000",0
"2021-04-11","206100",164
"2021-04-11","207001",224
"2021-04-11","208100",16
"2021-04-11","212000",361
"2021-04-11","214000",514
"2021-04-11","216001",65
"2021-04-11","217000",0
"2021-04-11","219000",93
"2021-04-11","222000",0
"2021-04-11","228001",318
"2021-04-11","229000",227
"2021-04-11","230000",100
"2021-04-11","235000",626
"2021-04-11","246000",256
"2021-04-11","255000",284
"2021-04-11","256000",49
"2021-04-11","262000",19
"2021-04-11","263000",421
"2021-04-11","266000",172
"2021-04-11","285000",104
"2021-04-11","286000",547
"2021-04-11","294000",31
"2021-04-11","297000",89
"2021-04-11","298000",39
"2021-04-11","301000",148
"2021-04-11","302000",463
"2021-04-11","303000",27
"2021-04-11","307000",22
"2021-04-11","314001",185
"2021-04-11","315003",108
"2021-04-11","318000",238
"2021-04-11","319000",0
"2021-04-11","323000",47
"2021-04-11","331000",689
"2021-04-11","332000",308
"2021-04-11","336001",132
"2021-04-11","337001",199
"2021-04-11","339001",469
"2021-04-11","340000",771
"2021-04-11","341000",10
"2021-04-11","346000",0
"2021-04-11","347000",1472
"2021-04-11","348000",0
"2021-04-11","349001",224
"2021-04-11","356000",14
"2021-04-11","357000",23
"2021-04-11","363000",275
"2021-04-11","370000",241
"2021-04-11","383000",25
"2021-04-11","388000",0
"2021-04-11","389000",301
"2021-04-11","390000",57
"2021-04-11","392000",157
"2021-04-11","393000",29
"2021-04-11","394000",218
"2021-04-11","395000",0
"2021-04-11","397000",28
"2021-04-11","397001",117
"2021-04-11","405000",256
"2021-04-11","406000",132
"2021-04-11","407000",1526
"2021-04-11","417000",267
"2021-04-11","420000",26
"2021-04-11","422000",245
"2021-04-11","424000",74
"2021-04-11","424500",0
"2021-04-11","425000",191
"2021-04-11","426000",57
"2021-04-11","427000",54
"2021-04-11","429001",71
"2021-04-11","430000",15
"2021-04-11","431000",523
"2021-04-11","433000",57
"2021-04-11","436000",61
"2021-04-11","437000",97
"2021-04-11","439000",16
"2021-04-11","441000",38
"2021-04-11","444001",250
"2021-04-11","446001",43
"2021-04-11","449000",57
"2021-04-11","452000",283
"2021-04-11","453000",239
"2021-04-11","459000",581
"2021-04-11","462000",30
"2021-04-11","465000",356
"2021-04-11","466000",23
"2021-04-11","468000",85
"2021-04-11","469000",39
"2021-04-11","471000",38
"2021-04-11","474000",734
"2021-04-11","477000",203
"2021-04-11","478000",98
"2021-04-11","480000",227
"2021-04-11","481000",98
"2021-04-11","485000",40
"2021-04-11","487000",28
"2021-04-11","488000",125
"2021-04-11","495001",0
"2021-04-11","497000",388
"2021-04-11","502000",326
"2021-04-11","505000",24
"2021-04-11","506001",198
"2021-04-11","508001",240
"2021-04-11","513000",206
"2021-04-11","522000",0
"2021-04-11","525000",212
"2021-04-11","527000",42
"2021-04-11","534001",213
"2021-04-11","537000",560
"2021-04-11","546000",0
"2021-04-11","547001",115
"2021-04-11","559000",0
"2021-04-11","560000",0
"2021-04-11","569000",19
"2021-04-11","572000",0
"2021-04-11","597000",0
"2021-04-11","601000",351
"2021-04-11","602000",314
"2021-04-11","608000",143
"2021-04-11","609001",163
"2021-04-11","627000",210
"2021-04-11","629001",109
"2021-04-11","631000",0
"2021-04-11","634000",216
"2021-04-11","640000",32
"2021-04-11","645000",73
"2021-04-11","653001",0
"2021-04-11","654000",18
"2021-04-11","657000",0
"2021-04-11","664000",265
"2021-04-11","672000",35
"2021-04-11","675000",597
"2021-04-11","676000",0
"2021-04-11","681400",43
"2021-04-11","686000",121
"2021-04-11","689401",37
"2021-04-11","690000",99
"2021-04-11","698004",0
"2021-04-11","706000",0
"2021-04-11","711900",32
"2021-04-11","714500",17
"2021-04-11","720402",65
"2021-04-11","724200",63
"2021-04-11","724700",353
"2021-04-11","725400",44
"2021-04-11","727100",45
"2021-04-11","728800",0
"2021-04-11","730001",45
"2021-04-11","740000",95
"2021-04-11","750000",0
"2021-04-11","784400",49
"2021-04-11","786200",0
"2021-04-11","787400",54
"2021-04-11","788001",410
"2021-04-11","788002",155
"2021-04-11","790200",0
"2021-04-11","792000",0
"2021-04-11","792700",0
"2021-04-11","793100",206
"2021-04-11","794600",0
"2021-04-11","797100",678
"2021-04-11","797500",0
"2021-04-11","797600",97
"2021-04-11","799001",26
"2021-04-11","800010",209
"2021-04-11","801500",0
"2021-04-11","804500",0
"2021-04-11","805100",0
"2021-04-11","806002",0
"2021-04-11","806500",73
"2021-04-11","813800",0
"2021-04-11","814000",73
"2021-04-11","814001",122
"2021-04-11","816300",54
"2021-04-11","820800",154
"2021-04-11","822001",0
"2021-04-11","822800",0
"2021-04-11","823000",286
"2021-04-11","823400",37
"2021-04-11","829900",337
"2021-04-11","832900",130
"2021-04-11","835700",0
"2021-04-11","838400",0
"2021-04-11","838600",278
"2021-04-11","839100",0
"2021-04-11","842800",233
"2021-04-11","844000",122
"2021-04-11","846100",71
"2021-04-11","846200",17
"2021-04-11","847000",336
"2021-04-11","847100",247
"2021-04-11","848100",33
"2021-04-11","850300",0
"2021-04-11","852000",169
"2021-04-11","852100",0
"2021-04-11","852600",141
"2021-04-11","854100",0
"2021-04-11","854400",0
"2021-04-11","858300",179
"2021-04-11","859900",64
"2021-04-11","860600",0
"2021-04-11","861700",137
"2021-04-11","861900",0
"2021-04-11","862000",0
"2021-04-11","864600",33
"2021-04-11","865000",197
"2021-04-11","869700",78
"2021-04-11","873800",0
"2021-04-11","874100",277
"2021-04-11","914000",46
"2021-04-11","919000",66
"2021-04-11","921000",150
"2021-04-11","923000",0
"2021-04-11","943000",74
"2021-04-11","957000",0
"2021-04-11","969500",0
"2021-04-11","969700",38
"2021-04-11","971000",107
"2021-04-11","971900",117
"2021-04-11","972900",112
"2021-04-11","972960",0
"2021-04-11","973180",54
"2021-04-11","973310",0
"2021-04-11","973320",23
"2021-04-11","973340",37
"2021-04-11","973420",0
"2021-04-11","973430",0
"2021-04-11","973450",0
"2021-04-11","973590",17
"2021-04-11","973620",92
"2021-04-11","973640",175
"2021-04-11","973850",127
"2021-04-11","973900",0
"2021-04-11","974260",0
"2021-04-11","974290",0
"2021-04-11","974350",115
"2021-04-11","974360",82
"2021-04-11","974390",55
"2021-04-11","974490",52
"2021-04-11","974500",0
"2021-04-11","974530",56
"2021-04-11","974720",29
"2021-04-11","974730",0
"2021-04-11","974940",62
"2021-04-11","974980",0
"2021-04-11","975020",0
"2021-04-11","975149",0
"2021-04-11","975153",0
"2021-04-11","975155",7
"2021-04-11","975159",91
"2021-04-11","975188",123
"2021-04-11","975198",22
"2021-04-11","975208",191
"2021-04-11","975221",67
"2021-04-11","975241",68
"2021-04-11","975255",23
"2021-04-11","975258",7
"2021-04-11","975259",0
"2021-04-11","975268",77
"2021-04-11","975271",0
"2021-04-11","975285",60
"2021-04-11","975286",112
"2021-04-11","975288",0
"2021-04-11","975293",69
"2021-04-11","975294",26
"2021-04-11","975295",46
"2021-04-11","975296",90
"2021-04-11","975297",23
"2021-04-11","975298",34
"2021-04-11","975299",475
"2021-04-11","975301",52
"2021-04-11","975325",0
"2021-04-11","975340",16
"2021-04-11","975372",100
"2021-04-11","975374",0
"2021-04-11","975386",0
"2021-04-11","975390",0
"2021-04-11","975391",16
"2021-04-11","975400",0
"2021-04-11","975403",147
"2021-04-11","975779",59
"2021-04-11","975782",0
"2021-04-11","975783",48
"2021-04-11","975789",12
"2021-04-11","975791",155
"2021-04-11","975805",0
"2021-04-11","975813",55
"2021-04-11","975814",177
"2021-04-11","975836",0
"2021-04-11","975870",0
"2021-04-11","975878",79
"2021-04-11","975879",24
