"COLLECTION_WEEK","ZCTA","IP_COV_DEMAND"
"2022-02-06","75001",46
"2022-02-06","75002",33
"2022-02-06","75006",41
"2022-02-06","75007",29
"2022-02-06","75009",39
"2022-02-06","75010",41
"2022-02-06","75013",44
"2022-02-06","75019",31
"2022-02-06","75020",75
"2022-02-06","75021",78
"2022-02-06","75022",35
"2022-02-06","75023",41
"2022-02-06","75024",38
"2022-02-06","75025",39
"2022-02-06","75028",28
"2022-02-06","75032",40
"2022-02-06","75034",42
"2022-02-06","75035",31
"2022-02-06","75038",26
"2022-02-06","75039",23
"2022-02-06","75040",34
"2022-02-06","75041",62
"2022-02-06","75042",45
"2022-02-06","75043",61
"2022-02-06","75044",29
"2022-02-06","75048",28
"2022-02-06","75050",42
"2022-02-06","75051",48
"2022-02-06","75052",60
"2022-02-06","75054",62
"2022-02-06","75056",36
"2022-02-06","75057",27
"2022-02-06","75058",47
"2022-02-06","75060",21
"2022-02-06","75061",19
"2022-02-06","75062",25
"2022-02-06","75063",19
"2022-02-06","75065",39
"2022-02-06","75067",27
"2022-02-06","75068",34
"2022-02-06","75069",39
"2022-02-06","75070",40
"2022-02-06","75071",50
"2022-02-06","75074",35
"2022-02-06","75075",48
"2022-02-06","75076",74
"2022-02-06","75077",28
"2022-02-06","75078",37
"2022-02-06","75080",57
"2022-02-06","75081",59
"2022-02-06","75082",10
"2022-02-06","75087",51
"2022-02-06","75088",29
"2022-02-06","75089",35
"2022-02-06","75090",80
"2022-02-06","75092",76
"2022-02-06","75093",41
"2022-02-06","75094",20
"2022-02-06","75098",21
"2022-02-06","75102",37
"2022-02-06","75103",94
"2022-02-06","75104",50
"2022-02-06","75105",17
"2022-02-06","75109",34
"2022-02-06","75110",27
"2022-02-06","75114",79
"2022-02-06","75115",56
"2022-02-06","75116",49
"2022-02-06","75117",76
"2022-02-06","75119",51
"2022-02-06","75124",61
"2022-02-06","75125",46
"2022-02-06","75126",54
"2022-02-06","75127",59
"2022-02-06","75134",52
