"COLLECTION_WEEK","THCIC_ID","inpatient_beds_7_day_avg_interp"
"2021-12-19","000102",569
"2021-12-19","000105",788
"2021-12-19","000112",48
"2021-12-19","001000",328
"2021-12-19","006000",34
"2021-12-19","007000",513
"2021-12-19","008001",0
"2021-12-19","014000",18
"2021-12-19","019000",144
"2021-12-19","023000",23
"2021-12-19","026000",21
"2021-12-19","029000",39
"2021-12-19","030000",14
"2021-12-19","034000",46
"2021-12-19","035000",474
"2021-12-19","038001",28
"2021-12-19","041000",0
"2021-12-19","044000",60
"2021-12-19","046000",31
"2021-12-19","047000",172
"2021-12-19","049000",20
"2021-12-19","058000",0
"2021-12-19","059000",10
"2021-12-19","061000",64
"2021-12-19","063000",39
"2021-12-19","064000",360
"2021-12-19","066000",0
"2021-12-19","070000",14
"2021-12-19","072000",0
"2021-12-19","074000",56
"2021-12-19","075000",0
"2021-12-19","076000",146
"2021-12-19","078000",40
"2021-12-19","084000",16
"2021-12-19","085000",132
"2021-12-19","089001",33
"2021-12-19","091001",0
"2021-12-19","094000",0
"2021-12-19","095003",119
"2021-12-19","098000",22
"2021-12-19","100093",0
"2021-12-19","103000",19
"2021-12-19","106001",20
"2021-12-19","106100",0
"2021-12-19","113000",18
"2021-12-19","114001",1838
"2021-12-19","117000",842
"2021-12-19","118000",440
"2021-12-19","124000",887
"2021-12-19","124100",37
"2021-12-19","129000",116
"2021-12-19","130000",195
"2021-12-19","137000",62
"2021-12-19","140002",742
"2021-12-19","141000",21
"2021-12-19","142000",268
"2021-12-19","143000",267
"2021-12-19","143001",66
"2021-12-19","144000",95
"2021-12-19","145000",677
"2021-12-19","146000",25
"2021-12-19","151000",0
"2021-12-19","154000",2085
"2021-12-19","155000",185
"2021-12-19","156000",23
"2021-12-19","158000",665
"2021-12-19","168000",573
"2021-12-19","180000",0
"2021-12-19","181000",223
"2021-12-19","182000",166
"2021-12-19","187000",25
"2021-12-19","193000",0
"2021-12-19","199000",14
"2021-12-19","206100",153
"2021-12-19","207001",224
"2021-12-19","208100",16
"2021-12-19","212000",372
"2021-12-19","214000",506
"2021-12-19","216001",47
"2021-12-19","217000",26
"2021-12-19","219000",95
"2021-12-19","222000",29
"2021-12-19","228001",311
"2021-12-19","229000",218
"2021-12-19","230000",85
"2021-12-19","235000",631
"2021-12-19","246000",265
"2021-12-19","255000",285
"2021-12-19","256000",37
"2021-12-19","262000",18
"2021-12-19","263000",400
"2021-12-19","266000",145
"2021-12-19","285000",113
"2021-12-19","286000",498
"2021-12-19","294000",0
"2021-12-19","297000",80
"2021-12-19","298000",37
"2021-12-19","301000",94
"2021-12-19","302000",286
"2021-12-19","303000",20
"2021-12-19","307000",26
"2021-12-19","314001",171
"2021-12-19","315003",93
"2021-12-19","318000",226
"2021-12-19","319000",0
"2021-12-19","323000",42
"2021-12-19","331000",650
"2021-12-19","332000",338
"2021-12-19","336001",156
"2021-12-19","337001",193
"2021-12-19","339001",457
"2021-12-19","340000",625
"2021-12-19","341000",11
"2021-12-19","346000",10
"2021-12-19","347000",985
"2021-12-19","348000",13
"2021-12-19","349001",212
"2021-12-19","356000",69
"2021-12-19","357000",31
"2021-12-19","363000",276
"2021-12-19","370000",192
"2021-12-19","383000",25
"2021-12-19","388000",15
"2021-12-19","389000",275
"2021-12-19","390000",55
"2021-12-19","392000",60
"2021-12-19","393000",29
"2021-12-19","394000",127
"2021-12-19","395000",0
"2021-12-19","397000",23
"2021-12-19","397001",108
"2021-12-19","405000",255
"2021-12-19","406000",136
"2021-12-19","407000",1141
"2021-12-19","417000",221
"2021-12-19","420000",24
"2021-12-19","422000",202
"2021-12-19","424000",67
"2021-12-19","424500",0
"2021-12-19","425000",208
"2021-12-19","426000",24
"2021-12-19","427000",22
"2021-12-19","429001",48
"2021-12-19","430000",16
"2021-12-19","431000",485
"2021-12-19","433000",34
"2021-12-19","436000",46
"2021-12-19","437000",106
"2021-12-19","439000",19
"2021-12-19","441000",33
"2021-12-19","444001",217
"2021-12-19","446001",23
"2021-12-19","449000",42
"2021-12-19","452000",234
"2021-12-19","453000",193
"2021-12-19","459000",561
"2021-12-19","462000",55
"2021-12-19","465000",268
"2021-12-19","466000",20
"2021-12-19","468000",30
"2021-12-19","469000",26
"2021-12-19","471000",19
"2021-12-19","474000",709
"2021-12-19","477000",167
"2021-12-19","478000",65
"2021-12-19","480000",227
"2021-12-19","481000",0
"2021-12-19","485000",29
"2021-12-19","487000",33
"2021-12-19","488000",101
"2021-12-19","495001",40
"2021-12-19","497000",385
"2021-12-19","502000",334
"2021-12-19","505000",25
"2021-12-19","506001",222
"2021-12-19","508001",206
"2021-12-19","513000",180
"2021-12-19","522000",0
"2021-12-19","525000",170
"2021-12-19","527000",37
"2021-12-19","534001",210
"2021-12-19","537000",583
"2021-12-19","546000",34
"2021-12-19","547001",107
"2021-12-19","559000",0
"2021-12-19","560000",0
"2021-12-19","569000",0
"2021-12-19","572000",29
"2021-12-19","597000",15
"2021-12-19","601000",336
"2021-12-19","602000",291
"2021-12-19","608000",168
"2021-12-19","609001",148
"2021-12-19","627000",235
"2021-12-19","629001",85
"2021-12-19","631000",0
"2021-12-19","634000",211
"2021-12-19","640000",30
"2021-12-19","645000",60
"2021-12-19","653001",0
"2021-12-19","654000",31
"2021-12-19","657000",0
"2021-12-19","664000",245
"2021-12-19","672000",43
"2021-12-19","675000",597
"2021-12-19","676000",77
"2021-12-19","681400",28
"2021-12-19","686000",115
"2021-12-19","689401",33
"2021-12-19","690000",96
"2021-12-19","698004",0
"2021-12-19","706000",0
"2021-12-19","711900",39
"2021-12-19","714500",6
"2021-12-19","720402",54
"2021-12-19","724200",59
"2021-12-19","724700",344
