"COLLECTION_WEEK","ZCTA","IP_COV_DEMAND"
"2021-12-26","75001",31
"2021-12-26","75002",17
"2021-12-26","75006",29
"2021-12-26","75007",27
"2021-12-26","75009",34
"2021-12-26","75010",30
"2021-12-26","75013",23
"2021-12-26","75019",21
"2021-12-26","75020",30
"2021-12-26","75021",32
"2021-12-26","75022",12
"2021-12-26","75023",22
"2021-12-26","75024",27
"2021-12-26","75025",20
"2021-12-26","75028",17
"2021-12-26","75032",15
"2021-12-26","75034",22
"2021-12-26","75035",18
"2021-12-26","75038",17
"2021-12-26","75039",37
"2021-12-26","75040",22
"2021-12-26","75041",37
"2021-12-26","75042",27
"2021-12-26","75043",34
"2021-12-26","75044",11
"2021-12-26","75048",13
"2021-12-26","75050",27
"2021-12-26","75051",32
"2021-12-26","75052",42
"2021-12-26","75054",56
"2021-12-26","75056",27
"2021-12-26","75057",16
"2021-12-26","75058",42
"2021-12-26","75060",12
"2021-12-26","75061",11
"2021-12-26","75062",10
"2021-12-26","75063",26
"2021-12-26","75065",21
"2021-12-26","75067",16
"2021-12-26","75068",20
"2021-12-26","75069",27
"2021-12-26","75070",30
"2021-12-26","75071",37
"2021-12-26","75074",21
"2021-12-26","75075",28
"2021-12-26","75076",12
"2021-12-26","75077",16
"2021-12-26","75078",30
"2021-12-26","75080",24
"2021-12-26","75081",21
"2021-12-26","75082",5
"2021-12-26","75087",24
"2021-12-26","75088",24
"2021-12-26","75089",25
"2021-12-26","75090",30
"2021-12-26","75092",28
"2021-12-26","75093",29
"2021-12-26","75094",10
"2021-12-26","75098",15
"2021-12-26","75102",0
"2021-12-26","75103",35
"2021-12-26","75104",45
"2021-12-26","75105",0
"2021-12-26","75109",20
"2021-12-26","75110",13
"2021-12-26","75114",42
"2021-12-26","75115",41
"2021-12-26","75116",53
"2021-12-26","75117",55
"2021-12-26","75119",25
"2021-12-26","75124",18
"2021-12-26","75125",32
"2021-12-26","75126",24
"2021-12-26","75127",11
"2021-12-26","75134",46
"2021-12-26","75135",17
"2021-12-26","75137",41
"2021-12-26","75140",34
"2021-12-26","75141",49
"2021-12-26","75142",22
"2021-12-26","75143",23
"2021-12-26","75144",13
"2021-12-26","75146",38
"2021-12-26","75147",12
"2021-12-26","75148",22
"2021-12-26","75149",30
"2021-12-26","75150",32
"2021-12-26","75152",14
"2021-12-26","75154",30
"2021-12-26","75155",11
"2021-12-26","75156",20
"2021-12-26","75157",0
"2021-12-26","75158",30
"2021-12-26","75159",33
"2021-12-26","75160",23
"2021-12-26","75161",22
"2021-12-26","75163",19
"2021-12-26","75165",23
"2021-12-26","75166",24
"2021-12-26","75167",33
"2021-12-26","75169",37
"2021-12-26","75172",79
"2021-12-26","75173",17
"2021-12-26","75180",40
"2021-12-26","75181",28
"2021-12-26","75182",17
"2021-12-26","75189",20
"2021-12-26","75201",61
"2021-12-26","75202",56
"2021-12-26","75203",51
"2021-12-26","75204",61
"2021-12-26","75205",43
"2021-12-26","75206",62
"2021-12-26","75207",44
"2021-12-26","75208",53
"2021-12-26","75209",70
"2021-12-26","75210",73
"2021-12-26","75211",47
"2021-12-26","75212",49
"2021-12-26","75214",58
"2021-12-26","75215",67
"2021-12-26","75216",60
"2021-12-26","75217",53
"2021-12-26","75218",31
"2021-12-26","75219",54
"2021-12-26","75220",57
"2021-12-26","75223",78
"2021-12-26","75224",51
"2021-12-26","75225",50
"2021-12-26","75226",73
"2021-12-26","75227",53
"2021-12-26","75228",42
"2021-12-26","75229",44
"2021-12-26","75230",43
"2021-12-26","75231",47
"2021-12-26","75232",48
"2021-12-26","75233",41
"2021-12-26","75234",24
"2021-12-26","75235",77
"2021-12-26","75236",37
"2021-12-26","75237",48
"2021-12-26","75238",44
"2021-12-26","75240",33
"2021-12-26","75241",57
"2021-12-26","75243",47
"2021-12-26","75244",26
"2021-12-26","75246",79
"2021-12-26","75247",27
"2021-12-26","75248",26
"2021-12-26","75249",47
"2021-12-26","75251",49
"2021-12-26","75252",31
"2021-12-26","75253",42
"2021-12-26","75254",29
"2021-12-26","75287",25
"2021-12-26","75401",17
"2021-12-26","75402",16
"2021-12-26","75407",29
"2021-12-26","75409",33
"2021-12-26","75410",17
"2021-12-26","75411",10
"2021-12-26","75414",30
"2021-12-26","75415",0
"2021-12-26","75416",6
"2021-12-26","75417",19
"2021-12-26","75418",27
"2021-12-26","75420",11
"2021-12-26","75421",10
"2021-12-26","75422",18
"2021-12-26","75423",31
"2021-12-26","75424",36
"2021-12-26","75426",24
"2021-12-26","75428",18
"2021-12-26","75431",8
"2021-12-26","75432",9
"2021-12-26","75433",14
"2021-12-26","75435",0
"2021-12-26","75436",10
"2021-12-26","75437",6
"2021-12-26","75438",0
"2021-12-26","75439",0
"2021-12-26","75440",13
"2021-12-26","75442",28
"2021-12-26","75446",17
"2021-12-26","75447",0
"2021-12-26","75448",0
"2021-12-26","75449",17
"2021-12-26","75450",0
"2021-12-26","75451",19
"2021-12-26","75452",27
"2021-12-26","75453",15
"2021-12-26","75454",41
"2021-12-26","75455",13
"2021-12-26","75457",16
"2021-12-26","75459",47
"2021-12-26","75460",10
"2021-12-26","75462",16
"2021-12-26","75468",0
"2021-12-26","75469",0
"2021-12-26","75470",0
"2021-12-26","75471",59
"2021-12-26","75472",17
"2021-12-26","75473",12
"2021-12-26","75474",21
"2021-12-26","75476",0
"2021-12-26","75477",0
"2021-12-26","75478",0
"2021-12-26","75479",36
"2021-12-26","75480",13
"2021-12-26","75481",0
"2021-12-26","75482",13
"2021-12-26","75486",33
"2021-12-26","75487",0
"2021-12-26","75488",28
"2021-12-26","75489",0
"2021-12-26","75490",22
"2021-12-26","75491",28
"2021-12-26","75492",0
"2021-12-26","75493",0
"2021-12-26","75494",17
"2021-12-26","75495",31
"2021-12-26","75496",12
"2021-12-26","75497",10
"2021-12-26","75501",14
"2021-12-26","75503",13
"2021-12-26","75550",0
"2021-12-26","75551",8
"2021-12-26","75554",11
"2021-12-26","75555",0
"2021-12-26","75556",10
"2021-12-26","75558",0
"2021-12-26","75559",13
"2021-12-26","75560",0
"2021-12-26","75561",13
"2021-12-26","75563",10
"2021-12-26","75567",10
"2021-12-26","75568",11
"2021-12-26","75569",16
"2021-12-26","75570",13
"2021-12-26","75571",15
"2021-12-26","75572",14
"2021-12-26","75574",12
"2021-12-26","75601",4
"2021-12-26","75602",6
"2021-12-26","75603",7
"2021-12-26","75604",6
"2021-12-26","75605",7
"2021-12-26","75630",6
"2021-12-26","75631",4
"2021-12-26","75633",9
"2021-12-26","75638",6
"2021-12-26","75639",2
"2021-12-26","75640",4
"2021-12-26","75643",6
"2021-12-26","75644",12
"2021-12-26","75645",7
"2021-12-26","75647",8
"2021-12-26","75650",5
"2021-12-26","75651",1
"2021-12-26","75652",5
"2021-12-26","75654",11
"2021-12-26","75656",5
"2021-12-26","75657",8
"2021-12-26","75661",1
"2021-12-26","75662",5
"2021-12-26","75667",6
"2021-12-26","75668",0
"2021-12-26","75669",0
"2021-12-26","75670",6
"2021-12-26","75672",2
"2021-12-26","75681",5
"2021-12-26","75683",3
"2021-12-26","75684",16
"2021-12-26","75686",9
"2021-12-26","75691",5
"2021-12-26","75692",2
"2021-12-26","75693",6
"2021-12-26","75701",38
"2021-12-26","75702",38
"2021-12-26","75703",33
"2021-12-26","75704",50
"2021-12-26","75705",59
"2021-12-26","75706",29
"2021-12-26","75707",36
"2021-12-26","75708",31
"2021-12-26","75709",30
"2021-12-26","75750",35
"2021-12-26","75751",15
"2021-12-26","75752",21
"2021-12-26","75754",33
"2021-12-26","75755",19
"2021-12-26","75756",37
"2021-12-26","75757",36
"2021-12-26","75758",37
"2021-12-26","75760",44
"2021-12-26","75762",44
"2021-12-26","75763",42
"2021-12-26","75765",20
"2021-12-26","75766",23
"2021-12-26","75770",33
"2021-12-26","75771",39
"2021-12-26","75773",26
"2021-12-26","75778",32
"2021-12-26","75783",12
"2021-12-26","75784",0
"2021-12-26","75785",26
"2021-12-26","75789",32
"2021-12-26","75790",42
"2021-12-26","75791",44
"2021-12-26","75792",13
"2021-12-26","75801",22
"2021-12-26","75803",25
"2021-12-26","75831",2
"2021-12-26","75833",12
"2021-12-26","75835",39
"2021-12-26","75839",22
"2021-12-26","75840",33
"2021-12-26","75844",55
"2021-12-26","75845",5
"2021-12-26","75846",10
"2021-12-26","75847",8
"2021-12-26","75850",0
"2021-12-26","75851",20
"2021-12-26","75852",98
"2021-12-26","75853",0
"2021-12-26","75855",35
"2021-12-26","75859",17
"2021-12-26","75860",37
