"COLLECTION_WEEK","THCIC_ID","inpatient_beds_7_day_avg_interp"
"2021-05-16","000102",631
"2021-05-16","000105",706
"2021-05-16","000112",47
"2021-05-16","001000",287
"2021-05-16","006000",39
"2021-05-16","007000",513
"2021-05-16","008001",0
"2021-05-16","014000",24
"2021-05-16","019000",123
"2021-05-16","023000",29
"2021-05-16","026000",24
"2021-05-16","029000",42
"2021-05-16","030000",20
"2021-05-16","034000",60
"2021-05-16","035000",504
"2021-05-16","038001",33
"2021-05-16","041000",0
"2021-05-16","044000",58
"2021-05-16","046000",0
"2021-05-16","047000",174
"2021-05-16","049000",0
"2021-05-16","058000",0
"2021-05-16","059000",10
"2021-05-16","061000",73
"2021-05-16","063000",47
"2021-05-16","064000",341
"2021-05-16","066000",0
"2021-05-16","070000",29
"2021-05-16","072000",0
"2021-05-16","074000",56
"2021-05-16","075000",0
"2021-05-16","076000",148
"2021-05-16","078000",40
"2021-05-16","084000",29
"2021-05-16","085000",125
"2021-05-16","089001",0
"2021-05-16","091001",0
"2021-05-16","094000",0
"2021-05-16","095003",147
"2021-05-16","098000",24
"2021-05-16","100093",0
"2021-05-16","103000",28
"2021-05-16","106001",0
"2021-05-16","106100",0
"2021-05-16","113000",8
"2021-05-16","114001",1757
"2021-05-16","117000",785
"2021-05-16","118000",390
"2021-05-16","124000",897
"2021-05-16","124100",37
"2021-05-16","129000",147
"2021-05-16","130000",201
"2021-05-16","137000",79
"2021-05-16","140002",770
"2021-05-16","141000",28
"2021-05-16","142000",291
"2021-05-16","143000",329
"2021-05-16","143001",78
"2021-05-16","144000",154
"2021-05-16","145000",496
"2021-05-16","146000",101
"2021-05-16","151000",0
"2021-05-16","154000",2097
"2021-05-16","155000",165
"2021-05-16","156000",53
"2021-05-16","158000",745
"2021-05-16","168000",628
"2021-05-16","180000",0
"2021-05-16","181000",240
"2021-05-16","182000",166
"2021-05-16","187000",32
"2021-05-16","193000",0
"2021-05-16","199000",0
"2021-05-16","206100",160
"2021-05-16","207001",219
"2021-05-16","208100",14
"2021-05-16","212000",433
"2021-05-16","214000",516
"2021-05-16","216001",46
"2021-05-16","217000",0
"2021-05-16","219000",93
"2021-05-16","222000",0
"2021-05-16","228001",310
"2021-05-16","229000",216
"2021-05-16","230000",107
"2021-05-16","235000",635
"2021-05-16","246000",247
"2021-05-16","255000",278
"2021-05-16","256000",46
"2021-05-16","262000",16
"2021-05-16","263000",400
"2021-05-16","266000",182
"2021-05-16","285000",104
"2021-05-16","286000",547
"2021-05-16","294000",32
"2021-05-16","297000",84
"2021-05-16","298000",45
"2021-05-16","301000",120
"2021-05-16","302000",463
"2021-05-16","303000",20
"2021-05-16","307000",19
"2021-05-16","314001",184
"2021-05-16","315003",92
"2021-05-16","318000",233
"2021-05-16","319000",0
"2021-05-16","323000",47
"2021-05-16","331000",683
"2021-05-16","332000",302
"2021-05-16","336001",141
"2021-05-16","337001",171
"2021-05-16","339001",456
"2021-05-16","340000",769
"2021-05-16","341000",8
"2021-05-16","346000",0
"2021-05-16","347000",1472
"2021-05-16","348000",0
"2021-05-16","349001",224
"2021-05-16","356000",14
"2021-05-16","357000",23
"2021-05-16","363000",312
"2021-05-16","370000",237
"2021-05-16","383000",25
"2021-05-16","388000",0
"2021-05-16","389000",280
"2021-05-16","390000",48
"2021-05-16","392000",151
"2021-05-16","393000",32
"2021-05-16","394000",121
"2021-05-16","395000",0
"2021-05-16","397000",22
"2021-05-16","397001",126
"2021-05-16","405000",253
"2021-05-16","406000",117
"2021-05-16","407000",1526
"2021-05-16","417000",251
"2021-05-16","420000",27
"2021-05-16","422000",264
"2021-05-16","424000",78
"2021-05-16","424500",0
"2021-05-16","425000",158
"2021-05-16","426000",55
"2021-05-16","427000",52
"2021-05-16","429001",72
"2021-05-16","430000",16
"2021-05-16","431000",497
"2021-05-16","433000",57
"2021-05-16","436000",56
"2021-05-16","437000",102
"2021-05-16","439000",20
"2021-05-16","441000",38
"2021-05-16","444001",250
"2021-05-16","446001",43
"2021-05-16","449000",57
"2021-05-16","452000",290
"2021-05-16","453000",233
"2021-05-16","459000",588
"2021-05-16","462000",36
"2021-05-16","465000",355
"2021-05-16","466000",28
"2021-05-16","468000",97
"2021-05-16","469000",37
"2021-05-16","471000",29
"2021-05-16","474000",711
"2021-05-16","477000",205
"2021-05-16","478000",68
"2021-05-16","480000",227
"2021-05-16","481000",78
"2021-05-16","485000",42
"2021-05-16","487000",22
"2021-05-16","488000",128
"2021-05-16","495001",0
"2021-05-16","497000",333
"2021-05-16","502000",336
"2021-05-16","505000",25
"2021-05-16","506001",191
"2021-05-16","508001",226
"2021-05-16","513000",198
"2021-05-16","522000",0
"2021-05-16","525000",222
"2021-05-16","527000",46
"2021-05-16","534001",213
"2021-05-16","537000",564
"2021-05-16","546000",0
"2021-05-16","547001",111
"2021-05-16","559000",0
"2021-05-16","560000",0
"2021-05-16","569000",17
"2021-05-16","572000",0
"2021-05-16","597000",0
"2021-05-16","601000",351
"2021-05-16","602000",304
"2021-05-16","608000",145
"2021-05-16","609001",163
"2021-05-16","627000",218
"2021-05-16","629001",108
"2021-05-16","631000",0
"2021-05-16","634000",232
"2021-05-16","640000",32
"2021-05-16","645000",63
"2021-05-16","653001",0
"2021-05-16","654000",15
"2021-05-16","657000",0
"2021-05-16","664000",266
"2021-05-16","672000",37
"2021-05-16","675000",597
"2021-05-16","676000",0
"2021-05-16","681400",43
"2021-05-16","686000",125
"2021-05-16","689401",36
"2021-05-16","690000",91
"2021-05-16","698004",0
"2021-05-16","706000",0
"2021-05-16","711900",31
"2021-05-16","714500",17
"2021-05-16","720402",44
"2021-05-16","724200",59
"2021-05-16","724700",369
"2021-05-16","725400",33
"2021-05-16","727100",38
"2021-05-16","728800",0
"2021-05-16","730001",43
"2021-05-16","740000",92
"2021-05-16","750000",0
"2021-05-16","784400",51
"2021-05-16","786200",0
"2021-05-16","787400",60
"2021-05-16","788001",382
"2021-05-16","788002",160
"2021-05-16","790200",0
"2021-05-16","792000",0
"2021-05-16","792700",0
"2021-05-16","793100",198
"2021-05-16","794600",0
"2021-05-16","797100",624
"2021-05-16","797500",0
"2021-05-16","797600",75
"2021-05-16","799001",22
"2021-05-16","800010",213
"2021-05-16","801500",0
"2021-05-16","804500",0
"2021-05-16","805100",0
"2021-05-16","806002",0
"2021-05-16","806500",66
"2021-05-16","813800",0
"2021-05-16","814000",74
"2021-05-16","814001",115
"2021-05-16","816300",58
"2021-05-16","820800",139
"2021-05-16","822001",0
"2021-05-16","822800",0
"2021-05-16","823000",273
"2021-05-16","823400",37
"2021-05-16","829900",353
"2021-05-16","832900",123
"2021-05-16","835700",0
"2021-05-16","838400",0
"2021-05-16","838600",267
"2021-05-16","839100",0
"2021-05-16","842800",223
"2021-05-16","844000",131
"2021-05-16","846100",59
"2021-05-16","846200",13
"2021-05-16","847000",325
"2021-05-16","847100",247
"2021-05-16","848100",28
"2021-05-16","850300",0
"2021-05-16","852000",176
"2021-05-16","852100",0
"2021-05-16","852600",145
"2021-05-16","854100",0
"2021-05-16","854400",0
"2021-05-16","858300",179
"2021-05-16","859900",60
"2021-05-16","860600",0
"2021-05-16","861700",133
"2021-05-16","861900",0
"2021-05-16","862000",0
"2021-05-16","864600",33
"2021-05-16","865000",188
"2021-05-16","869700",73
"2021-05-16","873800",0
"2021-05-16","874100",277
"2021-05-16","914000",45
"2021-05-16","919000",70
"2021-05-16","921000",153
"2021-05-16","923000",0
"2021-05-16","943000",67
"2021-05-16","957000",0
"2021-05-16","969500",0
"2021-05-16","969700",49
"2021-05-16","971000",96
"2021-05-16","971900",115
"2021-05-16","972900",94
"2021-05-16","972960",0
"2021-05-16","973180",54
"2021-05-16","973310",0
"2021-05-16","973320",23
"2021-05-16","973340",37
"2021-05-16","973420",0
"2021-05-16","973430",0
"2021-05-16","973450",0
"2021-05-16","973590",19
"2021-05-16","973620",90
"2021-05-16","973640",117
"2021-05-16","973850",133
"2021-05-16","973900",0
"2021-05-16","974260",0
"2021-05-16","974290",0
"2021-05-16","974350",117
"2021-05-16","974360",84
"2021-05-16","974390",53
"2021-05-16","974490",64
"2021-05-16","974500",0
"2021-05-16","974530",56
"2021-05-16","974720",25
"2021-05-16","974730",0
"2021-05-16","974940",59
"2021-05-16","974980",0
"2021-05-16","975020",0
"2021-05-16","975149",0
"2021-05-16","975153",0
"2021-05-16","975155",7
"2021-05-16","975159",89
"2021-05-16","975188",108
"2021-05-16","975198",23
"2021-05-16","975208",193
"2021-05-16","975221",67
"2021-05-16","975241",55
"2021-05-16","975255",19
"2021-05-16","975258",7
"2021-05-16","975259",0
"2021-05-16","975268",87
"2021-05-16","975271",0
"2021-05-16","975285",58
"2021-05-16","975286",102
"2021-05-16","975288",0
"2021-05-16","975293",63
"2021-05-16","975294",27
"2021-05-16","975295",41
"2021-05-16","975296",84
"2021-05-16","975297",20
"2021-05-16","975298",22
"2021-05-16","975299",465
"2021-05-16","975301",42
"2021-05-16","975325",0
"2021-05-16","975340",20
"2021-05-16","975372",106
"2021-05-16","975374",0
"2021-05-16","975386",0
"2021-05-16","975390",0
"2021-05-16","975391",19
"2021-05-16","975400",0
"2021-05-16","975403",157
"2021-05-16","975779",64
"2021-05-16","975782",0
"2021-05-16","975783",47
"2021-05-16","975789",14
"2021-05-16","975791",142
"2021-05-16","975805",0
"2021-05-16","975813",56
"2021-05-16","975814",180
"2021-05-16","975836",0
"2021-05-16","975870",0
"2021-05-16","975878",33
"2021-05-16","975879",17
