"COLLECTION_WEEK","ZCTA","IP_COV_DEMAND"
"2020-10-04","75001",22
"2020-10-04","75002",11
"2020-10-04","75006",21
"2020-10-04","75007",22
"2020-10-04","75009",16
"2020-10-04","75010",19
"2020-10-04","75013",11
"2020-10-04","75019",18
"2020-10-04","75020",41
"2020-10-04","75021",39
"2020-10-04","75022",13
"2020-10-04","75023",19
"2020-10-04","75024",18
"2020-10-04","75025",14
"2020-10-04","75028",11
"2020-10-04","75032",20
"2020-10-04","75034",17
"2020-10-04","75035",14
"2020-10-04","75038",19
"2020-10-04","75039",7
"2020-10-04","75040",15
"2020-10-04","75041",25
"2020-10-04","75042",17
"2020-10-04","75043",24
"2020-10-04","75044",8
"2020-10-04","75048",12
"2020-10-04","75050",26
"2020-10-04","75051",30
"2020-10-04","75052",29
"2020-10-04","75054",25
"2020-10-04","75056",16
"2020-10-04","75057",8
"2020-10-04","75058",21
"2020-10-04","75060",11
"2020-10-04","75061",8
"2020-10-04","75062",10
"2020-10-04","75063",10
"2020-10-04","75065",13
"2020-10-04","75067",9
"2020-10-04","75068",13
"2020-10-04","75069",11
"2020-10-04","75070",14
"2020-10-04","75071",17
"2020-10-04","75074",12
"2020-10-04","75075",19
"2020-10-04","75076",44
"2020-10-04","75077",9
"2020-10-04","75078",15
"2020-10-04","75080",19
"2020-10-04","75081",21
"2020-10-04","75082",8
"2020-10-04","75087",23
"2020-10-04","75088",18
"2020-10-04","75089",20
"2020-10-04","75090",37
"2020-10-04","75092",48
"2020-10-04","75093",18
"2020-10-04","75094",10
"2020-10-04","75098",13
"2020-10-04","75102",0
"2020-10-04","75103",47
"2020-10-04","75104",26
"2020-10-04","75105",0
"2020-10-04","75109",21
"2020-10-04","75110",13
"2020-10-04","75114",40
"2020-10-04","75115",27
"2020-10-04","75116",24
"2020-10-04","75117",56
"2020-10-04","75119",24
"2020-10-04","75124",43
"2020-10-04","75125",35
"2020-10-04","75126",22
"2020-10-04","75127",60
"2020-10-04","75134",31
"2020-10-04","75135",20
"2020-10-04","75137",29
"2020-10-04","75140",43
"2020-10-04","75141",33
"2020-10-04","75142",22
"2020-10-04","75143",22
"2020-10-04","75144",15
"2020-10-04","75146",30
"2020-10-04","75147",23
"2020-10-04","75148",22
"2020-10-04","75149",33
"2020-10-04","75150",35
"2020-10-04","75152",35
"2020-10-04","75154",28
"2020-10-04","75155",15
"2020-10-04","75156",23
"2020-10-04","75157",0
"2020-10-04","75158",36
"2020-10-04","75159",49
"2020-10-04","75160",26
"2020-10-04","75161",27
"2020-10-04","75163",18
"2020-10-04","75165",26
"2020-10-04","75166",9
"2020-10-04","75167",22
"2020-10-04","75169",39
"2020-10-04","75172",37
"2020-10-04","75173",24
"2020-10-04","75180",33
"2020-10-04","75181",34
"2020-10-04","75182",35
"2020-10-04","75189",20
"2020-10-04","75201",50
"2020-10-04","75202",0
"2020-10-04","75203",54
"2020-10-04","75204",64
"2020-10-04","75205",61
"2020-10-04","75206",58
"2020-10-04","75207",21
"2020-10-04","75208",37
"2020-10-04","75209",33
"2020-10-04","75210",69
"2020-10-04","75211",35
"2020-10-04","75212",27
"2020-10-04","75214",54
"2020-10-04","75215",73
"2020-10-04","75216",43
"2020-10-04","75217",48
"2020-10-04","75218",36
"2020-10-04","75219",40
"2020-10-04","75220",32
"2020-10-04","75223",74
"2020-10-04","75224",32
"2020-10-04","75225",36
"2020-10-04","75226",90
"2020-10-04","75227",50
"2020-10-04","75228",44
"2020-10-04","75229",27
"2020-10-04","75230",30
"2020-10-04","75231",31
"2020-10-04","75232",29
"2020-10-04","75233",39
"2020-10-04","75234",16
"2020-10-04","75235",41
"2020-10-04","75236",27
"2020-10-04","75237",26
"2020-10-04","75238",39
"2020-10-04","75240",27
"2020-10-04","75241",39
"2020-10-04","75243",35
"2020-10-04","75244",34
"2020-10-04","75246",102
"2020-10-04","75247",34
"2020-10-04","75248",23
"2020-10-04","75249",30
"2020-10-04","75251",27
"2020-10-04","75252",19
"2020-10-04","75253",38
"2020-10-04","75254",26
"2020-10-04","75287",21
"2020-10-04","75401",19
"2020-10-04","75402",19
"2020-10-04","75407",11
"2020-10-04","75409",20
"2020-10-04","75410",28
"2020-10-04","75411",19
"2020-10-04","75414",40
"2020-10-04","75415",0
"2020-10-04","75416",20
"2020-10-04","75417",25
"2020-10-04","75418",32
"2020-10-04","75420",0
"2020-10-04","75421",0
"2020-10-04","75422",15
"2020-10-04","75423",29
"2020-10-04","75424",14
"2020-10-04","75426",16
"2020-10-04","75428",19
"2020-10-04","75431",22
"2020-10-04","75432",22
"2020-10-04","75433",17
"2020-10-04","75435",14
"2020-10-04","75436",14
"2020-10-04","75437",31
"2020-10-04","75438",0
"2020-10-04","75439",59
"2020-10-04","75440",18
"2020-10-04","75442",15
"2020-10-04","75446",16
"2020-10-04","75447",35
"2020-10-04","75448",0
"2020-10-04","75449",0
"2020-10-04","75450",0
"2020-10-04","75451",0
"2020-10-04","75452",22
"2020-10-04","75453",24
"2020-10-04","75454",15
"2020-10-04","75455",15
"2020-10-04","75457",22
"2020-10-04","75459",38
"2020-10-04","75460",16
"2020-10-04","75462",21
"2020-10-04","75468",21
"2020-10-04","75469",0
"2020-10-04","75470",0
"2020-10-04","75471",24
"2020-10-04","75472",17
"2020-10-04","75473",14
"2020-10-04","75474",19
"2020-10-04","75476",35
"2020-10-04","75477",0
"2020-10-04","75478",0
"2020-10-04","75479",31
"2020-10-04","75480",27
"2020-10-04","75481",0
"2020-10-04","75482",14
"2020-10-04","75486",17
"2020-10-04","75487",0
"2020-10-04","75488",27
"2020-10-04","75489",34
"2020-10-04","75490",23
"2020-10-04","75491",28
"2020-10-04","75492",0
"2020-10-04","75493",0
"2020-10-04","75494",27
"2020-10-04","75495",31
"2020-10-04","75496",27
"2020-10-04","75497",15
"2020-10-04","75501",38
"2020-10-04","75503",44
"2020-10-04","75550",0
"2020-10-04","75551",38
"2020-10-04","75554",39
"2020-10-04","75555",29
"2020-10-04","75556",56
"2020-10-04","75558",26
"2020-10-04","75559",35
"2020-10-04","75560",44
"2020-10-04","75561",46
"2020-10-04","75563",32
"2020-10-04","75567",38
"2020-10-04","75568",15
"2020-10-04","75569",47
"2020-10-04","75570",43
"2020-10-04","75571",40
"2020-10-04","75572",35
"2020-10-04","75574",46
"2020-10-04","75601",9
"2020-10-04","75602",10
"2020-10-04","75603",8
"2020-10-04","75604",9
"2020-10-04","75605",10
"2020-10-04","75630",7
"2020-10-04","75631",16
"2020-10-04","75633",14
"2020-10-04","75638",15
"2020-10-04","75639",0
"2020-10-04","75640",14
"2020-10-04","75643",15
"2020-10-04","75644",10
"2020-10-04","75645",13
"2020-10-04","75647",10
"2020-10-04","75650",12
"2020-10-04","75651",7
"2020-10-04","75652",16
"2020-10-04","75654",26
"2020-10-04","75656",11
"2020-10-04","75657",13
"2020-10-04","75661",1
"2020-10-04","75662",11
"2020-10-04","75667",34
"2020-10-04","75668",58
"2020-10-04","75669",0
"2020-10-04","75670",7
"2020-10-04","75672",7
"2020-10-04","75681",24
"2020-10-04","75683",9
"2020-10-04","75684",34
"2020-10-04","75686",21
"2020-10-04","75691",12
"2020-10-04","75692",5
"2020-10-04","75693",8
"2020-10-04","75701",52
"2020-10-04","75702",49
"2020-10-04","75703",49
"2020-10-04","75704",50
"2020-10-04","75705",49
"2020-10-04","75706",49
"2020-10-04","75707",55
"2020-10-04","75708",50
"2020-10-04","75709",48
"2020-10-04","75750",54
"2020-10-04","75751",23
"2020-10-04","75752",28
"2020-10-04","75754",48
"2020-10-04","75755",20
"2020-10-04","75756",37
"2020-10-04","75757",48
"2020-10-04","75758",50
"2020-10-04","75760",32
"2020-10-04","75762",50
"2020-10-04","75763",49
"2020-10-04","75765",30
"2020-10-04","75766",23
"2020-10-04","75770",32
"2020-10-04","75771",49
"2020-10-04","75773",32
"2020-10-04","75778",38
"2020-10-04","75783",31
"2020-10-04","75784",0
"2020-10-04","75785",25
"2020-10-04","75789",44
"2020-10-04","75790",47
"2020-10-04","75791",50
"2020-10-04","75792",35
"2020-10-04","75801",18
"2020-10-04","75803",19
"2020-10-04","75831",11
"2020-10-04","75833",3
"2020-10-04","75835",17
"2020-10-04","75839",27
"2020-10-04","75840",14
"2020-10-04","75844",14
"2020-10-04","75845",18
"2020-10-04","75846",6
"2020-10-04","75847",14
"2020-10-04","75850",0
"2020-10-04","75851",18
"2020-10-04","75852",8
"2020-10-04","75853",27
"2020-10-04","75855",11
"2020-10-04","75859",9
"2020-10-04","75860",14
"2020-10-04","75861",23
"2020-10-04","75862",11
"2020-10-04","75901",14
"2020-10-04","75904",26
"2020-10-04","75925",18
"2020-10-04","75926",13
"2020-10-04","75928",0
"2020-10-04","75929",13
"2020-10-04","75930",13
"2020-10-04","75931",10
"2020-10-04","75932",10
"2020-10-04","75933",16
"2020-10-04","75935",21
"2020-10-04","75936",0
"2020-10-04","75937",0
"2020-10-04","75938",14
"2020-10-04","75939",13
"2020-10-04","75941",14
"2020-10-04","75943",14
"2020-10-04","75944",14
"2020-10-04","75946",16
"2020-10-04","75948",9
"2020-10-04","75949",12
"2020-10-04","75951",13
"2020-10-04","75954",20
"2020-10-04","75956",11
"2020-10-04","75959",0
"2020-10-04","75960",0
"2020-10-04","75961",19
"2020-10-04","75964",18
"2020-10-04","75965",21
"2020-10-04","75966",12
"2020-10-04","75968",13
"2020-10-04","75969",12
"2020-10-04","75972",16
"2020-10-04","75973",25
"2020-10-04","75974",22
"2020-10-04","75975",26
"2020-10-04","75976",12
"2020-10-04","75977",0
"2020-10-04","75979",11
"2020-10-04","75980",11
"2020-10-04","76001",27
"2020-10-04","76002",26
"2020-10-04","76006",32
"2020-10-04","76008",35
"2020-10-04","76009",25
"2020-10-04","76010",30
"2020-10-04","76011",36
"2020-10-04","76012",38
"2020-10-04","76013",35
"2020-10-04","76014",30
"2020-10-04","76015",31
"2020-10-04","76016",32
"2020-10-04","76017",30
"2020-10-04","76018",26
"2020-10-04","76020",27
"2020-10-04","76021",28
"2020-10-04","76022",29
"2020-10-04","76023",15
"2020-10-04","76028",31
"2020-10-04","76031",19
"2020-10-04","76033",20
"2020-10-04","76034",30
"2020-10-04","76035",22
"2020-10-04","76036",26
"2020-10-04","76039",24
"2020-10-04","76040",25
"2020-10-04","76041",0
"2020-10-04","76043",12
"2020-10-04","76044",25
"2020-10-04","76048",17
"2020-10-04","76049",18
"2020-10-04","76050",22
"2020-10-04","76051",25
"2020-10-04","76052",20
"2020-10-04","76053",22
"2020-10-04","76054",26
"2020-10-04","76055",14
"2020-10-04","76058",32
"2020-10-04","76059",15
"2020-10-04","76060",35
"2020-10-04","76061",0
"2020-10-04","76063",28
"2020-10-04","76064",24
"2020-10-04","76065",20
"2020-10-04","76066",32
"2020-10-04","76067",17
"2020-10-04","76070",0
"2020-10-04","76071",16
"2020-10-04","76073",5
"2020-10-04","76077",0
"2020-10-04","76078",14
"2020-10-04","76082",22
"2020-10-04","76084",20
"2020-10-04","76085",31
"2020-10-04","76086",39
"2020-10-04","76087",41
"2020-10-04","76088",32
"2020-10-04","76092",22
"2020-10-04","76093",27
"2020-10-04","76102",43
"2020-10-04","76103",34
"2020-10-04","76104",25
"2020-10-04","76105",39
"2020-10-04","76106",37
"2020-10-04","76107",42
"2020-10-04","76108",42
"2020-10-04","76109",44
"2020-10-04","76110",39
"2020-10-04","76111",41
"2020-10-04","76112",40
"2020-10-04","76114",46
"2020-10-04","76115",34
"2020-10-04","76116",42
"2020-10-04","76117",27
"2020-10-04","76118",19
"2020-10-04","76119",36
"2020-10-04","76120",34
"2020-10-04","76123",27
"2020-10-04","76126",32
"2020-10-04","76131",19
"2020-10-04","76132",27
"2020-10-04","76133",32
"2020-10-04","76134",35
"2020-10-04","76135",62
"2020-10-04","76137",18
"2020-10-04","76140",26
"2020-10-04","76148",17
"2020-10-04","76155",14
"2020-10-04","76164",43
"2020-10-04","76177",11
"2020-10-04","76179",31
"2020-10-04","76180",24
"2020-10-04","76182",23
"2020-10-04","76201",17
"2020-10-04","76205",14
"2020-10-04","76207",15
"2020-10-04","76208",16
"2020-10-04","76209",15
"2020-10-04","76210",15
"2020-10-04","76225",4
"2020-10-04","76226",11
"2020-10-04","76227",13
"2020-10-04","76228",16
"2020-10-04","76230",6
"2020-10-04","76233",27
"2020-10-04","76234",7
"2020-10-04","76239",14
"2020-10-04","76240",12
"2020-10-04","76244",15
"2020-10-04","76245",37
"2020-10-04","76247",14
"2020-10-04","76248",18
"2020-10-04","76249",15
"2020-10-04","76250",5
"2020-10-04","76251",0
"2020-10-04","76252",13
"2020-10-04","76253",0
"2020-10-04","76255",8
"2020-10-04","76258",16
"2020-10-04","76259",13
"2020-10-04","76261",0
"2020-10-04","76262",20
