"COLLECTION_WEEK","ZCTA","IP_COV_DEMAND"
"2020-12-13","75001",63
"2020-12-13","75002",36
"2020-12-13","75006",61
"2020-12-13","75007",66
"2020-12-13","75009",46
"2020-12-13","75010",61
"2020-12-13","75013",34
"2020-12-13","75019",44
"2020-12-13","75020",70
"2020-12-13","75021",67
"2020-12-13","75022",31
"2020-12-13","75023",57
"2020-12-13","75024",57
"2020-12-13","75025",43
"2020-12-13","75028",29
"2020-12-13","75032",49
"2020-12-13","75034",48
"2020-12-13","75035",37
"2020-12-13","75038",38
"2020-12-13","75039",22
"2020-12-13","75040",37
"2020-12-13","75041",60
"2020-12-13","75042",41
"2020-12-13","75043",58
"2020-12-13","75044",23
"2020-12-13","75048",29
"2020-12-13","75050",60
"2020-12-13","75051",76
"2020-12-13","75052",80
"2020-12-13","75054",87
"2020-12-13","75056",56
"2020-12-13","75057",28
"2020-12-13","75058",52
"2020-12-13","75060",24
"2020-12-13","75061",19
"2020-12-13","75062",21
"2020-12-13","75063",26
"2020-12-13","75065",35
"2020-12-13","75067",29
"2020-12-13","75068",39
"2020-12-13","75069",40
"2020-12-13","75070",44
"2020-12-13","75071",48
"2020-12-13","75074",38
"2020-12-13","75075",61
"2020-12-13","75076",72
"2020-12-13","75077",26
"2020-12-13","75078",45
"2020-12-13","75080",52
"2020-12-13","75081",51
"2020-12-13","75082",22
"2020-12-13","75087",54
"2020-12-13","75088",49
"2020-12-13","75089",48
"2020-12-13","75090",63
"2020-12-13","75092",89
"2020-12-13","75093",56
"2020-12-13","75094",27
"2020-12-13","75098",39
"2020-12-13","75102",0
"2020-12-13","75103",85
"2020-12-13","75104",96
"2020-12-13","75105",0
"2020-12-13","75109",45
"2020-12-13","75110",30
"2020-12-13","75114",72
"2020-12-13","75115",101
"2020-12-13","75116",95
"2020-12-13","75117",98
"2020-12-13","75119",52
"2020-12-13","75124",73
"2020-12-13","75125",77
"2020-12-13","75126",49
"2020-12-13","75127",106
"2020-12-13","75134",93
"2020-12-13","75135",45
"2020-12-13","75137",110
"2020-12-13","75140",77
"2020-12-13","75141",109
"2020-12-13","75142",42
"2020-12-13","75143",44
"2020-12-13","75144",30
"2020-12-13","75146",98
"2020-12-13","75147",42
"2020-12-13","75148",39
"2020-12-13","75149",74
"2020-12-13","75150",76
"2020-12-13","75152",75
"2020-12-13","75154",73
"2020-12-13","75155",37
"2020-12-13","75156",44
"2020-12-13","75157",0
"2020-12-13","75158",62
"2020-12-13","75159",92
"2020-12-13","75160",55
"2020-12-13","75161",56
"2020-12-13","75163",32
"2020-12-13","75165",67
"2020-12-13","75166",28
"2020-12-13","75167",56
"2020-12-13","75169",73
"2020-12-13","75172",77
"2020-12-13","75173",52
"2020-12-13","75180",74
"2020-12-13","75181",68
"2020-12-13","75182",64
"2020-12-13","75189",46
"2020-12-13","75201",93
"2020-12-13","75202",0
"2020-12-13","75203",120
"2020-12-13","75204",108
"2020-12-13","75205",111
"2020-12-13","75206",107
"2020-12-13","75207",60
"2020-12-13","75208",101
"2020-12-13","75209",74
"2020-12-13","75210",124
"2020-12-13","75211",95
"2020-12-13","75212",67
"2020-12-13","75214",103
"2020-12-13","75215",125
"2020-12-13","75216",106
"2020-12-13","75217",97
"2020-12-13","75218",76
"2020-12-13","75219",75
"2020-12-13","75220",72
"2020-12-13","75223",131
"2020-12-13","75224",95
"2020-12-13","75225",83
"2020-12-13","75226",149
"2020-12-13","75227",99
"2020-12-13","75228",89
"2020-12-13","75229",60
"2020-12-13","75230",77
"2020-12-13","75231",83
"2020-12-13","75232",98
"2020-12-13","75233",103
"2020-12-13","75234",41
"2020-12-13","75235",93
"2020-12-13","75236",89
"2020-12-13","75237",112
"2020-12-13","75238",87
"2020-12-13","75240",72
"2020-12-13","75241",108
"2020-12-13","75243",86
"2020-12-13","75244",74
"2020-12-13","75246",158
"2020-12-13","75247",56
"2020-12-13","75248",61
"2020-12-13","75249",103
"2020-12-13","75251",73
"2020-12-13","75252",53
"2020-12-13","75253",81
"2020-12-13","75254",63
"2020-12-13","75287",63
"2020-12-13","75401",41
"2020-12-13","75402",41
"2020-12-13","75407",40
"2020-12-13","75409",52
"2020-12-13","75410",52
"2020-12-13","75411",38
"2020-12-13","75414",68
"2020-12-13","75415",0
"2020-12-13","75416",38
"2020-12-13","75417",39
"2020-12-13","75418",56
"2020-12-13","75420",0
"2020-12-13","75421",0
"2020-12-13","75422",31
"2020-12-13","75423",59
"2020-12-13","75424",41
"2020-12-13","75426",33
"2020-12-13","75428",45
"2020-12-13","75431",40
"2020-12-13","75432",47
"2020-12-13","75433",36
"2020-12-13","75435",31
"2020-12-13","75436",35
"2020-12-13","75437",56
"2020-12-13","75438",0
"2020-12-13","75439",94
"2020-12-13","75440",38
"2020-12-13","75442",43
"2020-12-13","75446",33
"2020-12-13","75447",64
"2020-12-13","75448",0
"2020-12-13","75449",0
"2020-12-13","75450",0
"2020-12-13","75451",0
"2020-12-13","75452",53
"2020-12-13","75453",47
"2020-12-13","75454",47
"2020-12-13","75455",30
"2020-12-13","75457",45
"2020-12-13","75459",66
"2020-12-13","75460",35
"2020-12-13","75462",43
"2020-12-13","75468",43
"2020-12-13","75469",0
"2020-12-13","75470",0
"2020-12-13","75471",65
"2020-12-13","75472",39
"2020-12-13","75473",34
"2020-12-13","75474",42
