"COLLECTION_WEEK","THCIC_ID","inpatient_beds_7_day_avg_interp"
"2021-02-14","000102",571
"2021-02-14","000105",805
"2021-02-14","000112",39
"2021-02-14","001000",342
"2021-02-14","006000",29
"2021-02-14","007000",513
"2021-02-14","008001",0
"2021-02-14","014000",20
"2021-02-14","019000",208
"2021-02-14","023000",29
"2021-02-14","026000",24
"2021-02-14","029000",58
"2021-02-14","030000",42
"2021-02-14","034000",54
"2021-02-14","035000",516
"2021-02-14","038001",34
"2021-02-14","041000",0
"2021-02-14","044000",44
"2021-02-14","046000",20
"2021-02-14","047000",285
"2021-02-14","049000",22
"2021-02-14","058000",0
"2021-02-14","059000",9
"2021-02-14","061000",79
"2021-02-14","063000",47
"2021-02-14","064000",335
"2021-02-14","066000",0
"2021-02-14","070000",31
"2021-02-14","072000",0
"2021-02-14","074000",53
"2021-02-14","075000",23
"2021-02-14","076000",167
"2021-02-14","078000",38
"2021-02-14","084000",32
"2021-02-14","085000",131
"2021-02-14","089001",0
"2021-02-14","091001",0
"2021-02-14","094000",0
"2021-02-14","095003",158
"2021-02-14","098000",23
"2021-02-14","100093",0
"2021-02-14","103000",25
"2021-02-14","106001",34
"2021-02-14","106100",0
"2021-02-14","113000",10
"2021-02-14","114001",1622
"2021-02-14","117000",771
"2021-02-14","118000",431
"2021-02-14","124000",858
"2021-02-14","124100",36
"2021-02-14","129000",134
"2021-02-14","130000",204
"2021-02-14","137000",81
"2021-02-14","140002",742
"2021-02-14","141000",36
"2021-02-14","142000",305
"2021-02-14","143000",304
"2021-02-14","143001",65
"2021-02-14","144000",131
"2021-02-14","145000",479
"2021-02-14","146000",97
"2021-02-14","151000",0
"2021-02-14","154000",2063
"2021-02-14","155000",166
"2021-02-14","156000",39
"2021-02-14","158000",771
"2021-02-14","168000",605
"2021-02-14","180000",0
"2021-02-14","181000",272
"2021-02-14","182000",168
"2021-02-14","187000",31
"2021-02-14","193000",22
"2021-02-14","199000",18
"2021-02-14","206100",161
"2021-02-14","207001",220
"2021-02-14","208100",10
