"COLLECTION_WEEK","ZCTA","IP_COV_DEMAND"
"2021-02-21","75001",31
"2021-02-21","75002",23
"2021-02-21","75006",26
"2021-02-21","75007",24
"2021-02-21","75009",46
"2021-02-21","75010",24
"2021-02-21","75013",25
"2021-02-21","75019",25
"2021-02-21","75020",25
"2021-02-21","75021",27
"2021-02-21","75022",21
"2021-02-21","75023",34
"2021-02-21","75024",26
"2021-02-21","75025",27
"2021-02-21","75028",17
"2021-02-21","75032",31
"2021-02-21","75034",21
"2021-02-21","75035",23
"2021-02-21","75038",13
"2021-02-21","75039",18
"2021-02-21","75040",22
"2021-02-21","75041",34
"2021-02-21","75042",27
"2021-02-21","75043",35
"2021-02-21","75044",14
"2021-02-21","75048",14
"2021-02-21","75050",37
"2021-02-21","75051",43
"2021-02-21","75052",43
"2021-02-21","75054",62
"2021-02-21","75056",24
"2021-02-21","75057",19
"2021-02-21","75058",43
"2021-02-21","75060",13
"2021-02-21","75061",10
"2021-02-21","75062",9
"2021-02-21","75063",25
"2021-02-21","75065",26
"2021-02-21","75067",21
"2021-02-21","75068",23
"2021-02-21","75069",33
"2021-02-21","75070",43
"2021-02-21","75071",45
"2021-02-21","75074",29
"2021-02-21","75075",37
"2021-02-21","75076",33
"2021-02-21","75077",17
"2021-02-21","75078",37
"2021-02-21","75080",34
"2021-02-21","75081",30
"2021-02-21","75082",12
"2021-02-21","75087",31
"2021-02-21","75088",35
"2021-02-21","75089",26
"2021-02-21","75090",21
"2021-02-21","75092",22
"2021-02-21","75093",30
"2021-02-21","75094",25
"2021-02-21","75098",23
"2021-02-21","75102",18
"2021-02-21","75103",41
"2021-02-21","75104",57
"2021-02-21","75105",0
"2021-02-21","75109",16
"2021-02-21","75110",19
"2021-02-21","75114",38
"2021-02-21","75115",55
"2021-02-21","75116",58
"2021-02-21","75117",49
"2021-02-21","75119",32
"2021-02-21","75124",27
"2021-02-21","75125",41
"2021-02-21","75126",33
"2021-02-21","75127",11
"2021-02-21","75134",52
"2021-02-21","75135",27
"2021-02-21","75137",58
"2021-02-21","75140",37
"2021-02-21","75141",55
"2021-02-21","75142",32
"2021-02-21","75143",18
"2021-02-21","75144",17
"2021-02-21","75146",48
"2021-02-21","75147",22
"2021-02-21","75148",21
"2021-02-21","75149",42
"2021-02-21","75150",47
"2021-02-21","75152",34
"2021-02-21","75154",39
"2021-02-21","75155",26
"2021-02-21","75156",30
"2021-02-21","75157",0
"2021-02-21","75158",48
"2021-02-21","75159",48
"2021-02-21","75160",40
"2021-02-21","75161",43
"2021-02-21","75163",11
"2021-02-21","75165",36
"2021-02-21","75166",22
"2021-02-21","75167",37
"2021-02-21","75169",34
"2021-02-21","75172",53
"2021-02-21","75173",25
"2021-02-21","75180",41
"2021-02-21","75181",30
"2021-02-21","75182",31
"2021-02-21","75189",29
"2021-02-21","75201",59
"2021-02-21","75202",78
"2021-02-21","75203",51
"2021-02-21","75204",84
"2021-02-21","75205",57
"2021-02-21","75206",63
"2021-02-21","75207",28
"2021-02-21","75208",49
"2021-02-21","75209",32
"2021-02-21","75210",75
"2021-02-21","75211",46
"2021-02-21","75212",34
"2021-02-21","75214",80
"2021-02-21","75215",71
"2021-02-21","75216",63
"2021-02-21","75217",60
"2021-02-21","75218",49
"2021-02-21","75219",42
"2021-02-21","75220",44
"2021-02-21","75223",78
"2021-02-21","75224",56
"2021-02-21","75225",51
"2021-02-21","75226",90
"2021-02-21","75227",63
"2021-02-21","75228",46
"2021-02-21","75229",31
"2021-02-21","75230",51
"2021-02-21","75231",51
"2021-02-21","75232",58
"2021-02-21","75233",54
"2021-02-21","75234",26
"2021-02-21","75235",50
"2021-02-21","75236",56
"2021-02-21","75237",64
"2021-02-21","75238",49
"2021-02-21","75240",47
"2021-02-21","75241",59
"2021-02-21","75243",49
"2021-02-21","75244",34
"2021-02-21","75246",105
"2021-02-21","75247",15
"2021-02-21","75248",35
"2021-02-21","75249",56
"2021-02-21","75251",38
"2021-02-21","75252",29
"2021-02-21","75253",45
"2021-02-21","75254",36
"2021-02-21","75287",33
"2021-02-21","75401",24
"2021-02-21","75402",23
"2021-02-21","75407",34
"2021-02-21","75409",43
"2021-02-21","75410",30
"2021-02-21","75411",0
"2021-02-21","75414",30
"2021-02-21","75415",0
"2021-02-21","75416",19
"2021-02-21","75417",18
"2021-02-21","75418",18
"2021-02-21","75420",0
"2021-02-21","75421",0
"2021-02-21","75422",23
"2021-02-21","75423",29
"2021-02-21","75424",35
"2021-02-21","75426",23
"2021-02-21","75428",21
"2021-02-21","75431",37
"2021-02-21","75432",17
"2021-02-21","75433",22
"2021-02-21","75435",36
"2021-02-21","75436",22
"2021-02-21","75437",12
"2021-02-21","75438",26
"2021-02-21","75439",0
"2021-02-21","75440",21
"2021-02-21","75442",37
"2021-02-21","75446",14
"2021-02-21","75447",26
"2021-02-21","75448",0
"2021-02-21","75449",24
"2021-02-21","75450",0
"2021-02-21","75451",15
"2021-02-21","75452",27
"2021-02-21","75453",20
"2021-02-21","75454",37
"2021-02-21","75455",21
"2021-02-21","75457",15
"2021-02-21","75459",29
"2021-02-21","75460",16
"2021-02-21","75462",17
"2021-02-21","75468",27
"2021-02-21","75469",0
"2021-02-21","75470",0
"2021-02-21","75471",15
"2021-02-21","75472",18
"2021-02-21","75473",18
"2021-02-21","75474",27
"2021-02-21","75476",34
"2021-02-21","75477",0
"2021-02-21","75478",0
"2021-02-21","75479",21
"2021-02-21","75480",23
"2021-02-21","75481",0
"2021-02-21","75482",20
"2021-02-21","75486",20
"2021-02-21","75487",17
"2021-02-21","75488",22
"2021-02-21","75489",29
"2021-02-21","75490",35
"2021-02-21","75491",34
"2021-02-21","75492",0
"2021-02-21","75493",0
"2021-02-21","75494",28
"2021-02-21","75495",36
"2021-02-21","75496",24
"2021-02-21","75497",20
"2021-02-21","75501",28
"2021-02-21","75503",30
"2021-02-21","75550",0
"2021-02-21","75551",19
"2021-02-21","75554",44
"2021-02-21","75555",27
"2021-02-21","75556",0
"2021-02-21","75558",18
"2021-02-21","75559",27
"2021-02-21","75560",0
"2021-02-21","75561",29
"2021-02-21","75563",22
"2021-02-21","75567",31
"2021-02-21","75568",28
