"COLLECTION_WEEK","ZCTA","IP_COV_DEMAND"
"2021-05-16","75001",16
"2021-05-16","75002",9
"2021-05-16","75006",8
"2021-05-16","75007",8
"2021-05-16","75009",7
"2021-05-16","75010",10
"2021-05-16","75013",6
"2021-05-16","75019",7
"2021-05-16","75020",4
"2021-05-16","75021",7
"2021-05-16","75022",16
"2021-05-16","75023",8
"2021-05-16","75024",11
"2021-05-16","75025",7
"2021-05-16","75028",5
"2021-05-16","75032",12
"2021-05-16","75034",7
"2021-05-16","75035",6
"2021-05-16","75038",3
"2021-05-16","75039",13
"2021-05-16","75040",10
"2021-05-16","75041",13
"2021-05-16","75042",8
"2021-05-16","75043",16
"2021-05-16","75044",4
"2021-05-16","75048",6
"2021-05-16","75050",6
"2021-05-16","75051",15
"2021-05-16","75052",14
"2021-05-16","75054",19
"2021-05-16","75056",9
"2021-05-16","75057",8
"2021-05-16","75058",8
"2021-05-16","75060",6
"2021-05-16","75061",5
"2021-05-16","75062",6
"2021-05-16","75063",4
"2021-05-16","75065",6
"2021-05-16","75067",6
"2021-05-16","75068",6
"2021-05-16","75069",10
"2021-05-16","75070",9
"2021-05-16","75071",8
"2021-05-16","75074",7
"2021-05-16","75075",9
"2021-05-16","75076",6
"2021-05-16","75077",7
"2021-05-16","75078",5
"2021-05-16","75080",8
"2021-05-16","75081",7
"2021-05-16","75082",1
"2021-05-16","75087",7
"2021-05-16","75088",9
"2021-05-16","75089",8
"2021-05-16","75090",5
"2021-05-16","75092",5
"2021-05-16","75093",8
"2021-05-16","75094",1
"2021-05-16","75098",6
"2021-05-16","75102",0
"2021-05-16","75103",27
"2021-05-16","75104",17
"2021-05-16","75105",0
"2021-05-16","75109",19
"2021-05-16","75110",9
"2021-05-16","75114",8
"2021-05-16","75115",15
"2021-05-16","75116",15
"2021-05-16","75117",16
"2021-05-16","75119",12
"2021-05-16","75124",18
"2021-05-16","75125",18
"2021-05-16","75126",11
"2021-05-16","75127",21
"2021-05-16","75134",18
"2021-05-16","75135",5
"2021-05-16","75137",17
"2021-05-16","75140",21
"2021-05-16","75141",23
"2021-05-16","75142",6
"2021-05-16","75143",12
"2021-05-16","75144",24
"2021-05-16","75146",12
"2021-05-16","75147",15
"2021-05-16","75148",6
"2021-05-16","75149",15
"2021-05-16","75150",23
"2021-05-16","75152",15
"2021-05-16","75154",14
"2021-05-16","75155",9
"2021-05-16","75156",12
"2021-05-16","75157",0
"2021-05-16","75158",4
"2021-05-16","75159",12
"2021-05-16","75160",11
"2021-05-16","75161",7
"2021-05-16","75163",9
"2021-05-16","75165",14
"2021-05-16","75166",8
"2021-05-16","75167",17
"2021-05-16","75169",11
"2021-05-16","75172",20
"2021-05-16","75173",6
"2021-05-16","75180",10
"2021-05-16","75181",14
"2021-05-16","75182",9
"2021-05-16","75189",5
"2021-05-16","75201",56
"2021-05-16","75202",12
"2021-05-16","75203",23
"2021-05-16","75204",37
"2021-05-16","75205",23
"2021-05-16","75206",28
"2021-05-16","75207",56
"2021-05-16","75208",13
"2021-05-16","75209",15
"2021-05-16","75210",43
"2021-05-16","75211",16
"2021-05-16","75212",17
"2021-05-16","75214",34
"2021-05-16","75215",32
"2021-05-16","75216",22
"2021-05-16","75217",29
"2021-05-16","75218",31
"2021-05-16","75219",29
"2021-05-16","75220",12
"2021-05-16","75223",36
"2021-05-16","75224",18
"2021-05-16","75225",31
"2021-05-16","75226",0
"2021-05-16","75227",23
"2021-05-16","75228",23
"2021-05-16","75229",14
"2021-05-16","75230",19
"2021-05-16","75231",20
"2021-05-16","75232",17
"2021-05-16","75233",16
"2021-05-16","75234",10
"2021-05-16","75235",24
"2021-05-16","75236",13
"2021-05-16","75237",17
"2021-05-16","75238",15
"2021-05-16","75240",20
"2021-05-16","75241",20
"2021-05-16","75243",17
"2021-05-16","75244",10
"2021-05-16","75246",42
"2021-05-16","75247",15
"2021-05-16","75248",9
"2021-05-16","75249",17
"2021-05-16","75251",8
"2021-05-16","75252",8
"2021-05-16","75253",15
"2021-05-16","75254",13
"2021-05-16","75287",12
"2021-05-16","75401",7
"2021-05-16","75402",9
"2021-05-16","75407",9
"2021-05-16","75409",10
"2021-05-16","75410",13
"2021-05-16","75411",0
"2021-05-16","75414",6
"2021-05-16","75415",0
"2021-05-16","75416",4
"2021-05-16","75417",3
"2021-05-16","75418",6
"2021-05-16","75420",0
"2021-05-16","75421",0
"2021-05-16","75422",0
"2021-05-16","75423",5
"2021-05-16","75424",6
"2021-05-16","75426",5
"2021-05-16","75428",5
"2021-05-16","75431",12
"2021-05-16","75432",4
"2021-05-16","75433",9
"2021-05-16","75435",0
"2021-05-16","75436",5
"2021-05-16","75437",0
"2021-05-16","75438",0
"2021-05-16","75439",0
"2021-05-16","75440",9
