"COLLECTION_WEEK","ZCTA","IP_COV_DEMAND"
"2021-12-19","75001",14
"2021-12-19","75002",13
"2021-12-19","75006",15
"2021-12-19","75007",15
"2021-12-19","75009",24
"2021-12-19","75010",18
"2021-12-19","75013",15
"2021-12-19","75019",12
"2021-12-19","75020",23
"2021-12-19","75021",24
"2021-12-19","75022",9
"2021-12-19","75023",13
"2021-12-19","75024",15
"2021-12-19","75025",12
"2021-12-19","75028",12
"2021-12-19","75032",11
"2021-12-19","75034",14
"2021-12-19","75035",11
"2021-12-19","75038",9
"2021-12-19","75039",22
"2021-12-19","75040",11
"2021-12-19","75041",22
"2021-12-19","75042",14
"2021-12-19","75043",20
"2021-12-19","75044",6
"2021-12-19","75048",7
"2021-12-19","75050",15
"2021-12-19","75051",21
"2021-12-19","75052",25
"2021-12-19","75054",27
"2021-12-19","75056",15
"2021-12-19","75057",14
"2021-12-19","75058",31
"2021-12-19","75060",6
"2021-12-19","75061",5
"2021-12-19","75062",5
"2021-12-19","75063",12
"2021-12-19","75065",16
"2021-12-19","75067",13
"2021-12-19","75068",13
"2021-12-19","75069",21
"2021-12-19","75070",23
"2021-12-19","75071",27
"2021-12-19","75074",13
"2021-12-19","75075",17
"2021-12-19","75076",9
"2021-12-19","75077",13
"2021-12-19","75078",20
"2021-12-19","75080",13
"2021-12-19","75081",11
"2021-12-19","75082",3
"2021-12-19","75087",16
"2021-12-19","75088",15
"2021-12-19","75089",15
"2021-12-19","75090",23
"2021-12-19","75092",21
"2021-12-19","75093",15
"2021-12-19","75094",5
"2021-12-19","75098",9
"2021-12-19","75102",0
"2021-12-19","75103",24
"2021-12-19","75104",21
"2021-12-19","75105",0
"2021-12-19","75109",9
"2021-12-19","75110",8
"2021-12-19","75114",25
"2021-12-19","75115",20
"2021-12-19","75116",22
"2021-12-19","75117",38
"2021-12-19","75119",13
"2021-12-19","75124",12
"2021-12-19","75125",18
"2021-12-19","75126",15
"2021-12-19","75127",7
"2021-12-19","75134",22
"2021-12-19","75135",13
"2021-12-19","75137",18
"2021-12-19","75140",23
"2021-12-19","75141",26
"2021-12-19","75142",13
"2021-12-19","75143",13
"2021-12-19","75144",7
"2021-12-19","75146",18
"2021-12-19","75147",8
"2021-12-19","75148",14
"2021-12-19","75149",18
"2021-12-19","75150",22
"2021-12-19","75152",8
"2021-12-19","75154",15
"2021-12-19","75155",6
"2021-12-19","75156",13
"2021-12-19","75157",0
"2021-12-19","75158",15
"2021-12-19","75159",22
"2021-12-19","75160",15
"2021-12-19","75161",15
"2021-12-19","75163",12
"2021-12-19","75165",11
"2021-12-19","75166",17
"2021-12-19","75167",15
"2021-12-19","75169",24
"2021-12-19","75172",47
"2021-12-19","75173",13
"2021-12-19","75180",24
"2021-12-19","75181",19
"2021-12-19","75182",13
"2021-12-19","75189",14
"2021-12-19","75201",25
"2021-12-19","75202",36
"2021-12-19","75203",23
"2021-12-19","75204",40
"2021-12-19","75205",32
"2021-12-19","75206",41
"2021-12-19","75207",24
"2021-12-19","75208",24
"2021-12-19","75209",32
"2021-12-19","75210",53
"2021-12-19","75211",21
"2021-12-19","75212",24
"2021-12-19","75214",36
"2021-12-19","75215",45
"2021-12-19","75216",32
"2021-12-19","75217",31
"2021-12-19","75218",24
"2021-12-19","75219",28
"2021-12-19","75220",26
"2021-12-19","75223",49
"2021-12-19","75224",25
"2021-12-19","75225",25
"2021-12-19","75226",45
"2021-12-19","75227",36
"2021-12-19","75228",29
"2021-12-19","75229",22
"2021-12-19","75230",23
"2021-12-19","75231",22
"2021-12-19","75232",22
"2021-12-19","75233",19
"2021-12-19","75234",14
"2021-12-19","75235",33
"2021-12-19","75236",17
"2021-12-19","75237",20
"2021-12-19","75238",25
"2021-12-19","75240",18
"2021-12-19","75241",29
"2021-12-19","75243",24
"2021-12-19","75244",13
"2021-12-19","75246",58
"2021-12-19","75247",11
"2021-12-19","75248",14
"2021-12-19","75249",21
"2021-12-19","75251",27
"2021-12-19","75252",17
"2021-12-19","75253",24
"2021-12-19","75254",17
"2021-12-19","75287",13
"2021-12-19","75401",13
"2021-12-19","75402",12
"2021-12-19","75407",22
"2021-12-19","75409",25
"2021-12-19","75410",12
"2021-12-19","75411",8
"2021-12-19","75414",23
"2021-12-19","75415",0
"2021-12-19","75416",5
"2021-12-19","75417",12
"2021-12-19","75418",20
"2021-12-19","75420",9
"2021-12-19","75421",8
"2021-12-19","75422",14
"2021-12-19","75423",18
"2021-12-19","75424",28
"2021-12-19","75426",13
"2021-12-19","75428",14
"2021-12-19","75431",7
"2021-12-19","75432",8
"2021-12-19","75433",10
"2021-12-19","75435",0
"2021-12-19","75436",8
"2021-12-19","75437",6
"2021-12-19","75438",0
"2021-12-19","75439",0
"2021-12-19","75440",10
"2021-12-19","75442",22
"2021-12-19","75446",13
"2021-12-19","75447",0
"2021-12-19","75448",0
"2021-12-19","75449",10
"2021-12-19","75450",0
"2021-12-19","75451",13
"2021-12-19","75452",21
"2021-12-19","75453",12
"2021-12-19","75454",30
"2021-12-19","75455",9
"2021-12-19","75457",12
"2021-12-19","75459",35
"2021-12-19","75460",8
"2021-12-19","75462",12
"2021-12-19","75468",0
"2021-12-19","75469",0
"2021-12-19","75470",0
"2021-12-19","75471",40
"2021-12-19","75472",11
"2021-12-19","75473",9
"2021-12-19","75474",14
"2021-12-19","75476",0
"2021-12-19","75477",0
"2021-12-19","75478",0
"2021-12-19","75479",28
"2021-12-19","75480",8
"2021-12-19","75481",0
"2021-12-19","75482",10
"2021-12-19","75486",19
"2021-12-19","75487",0
"2021-12-19","75488",22
"2021-12-19","75489",0
"2021-12-19","75490",18
"2021-12-19","75491",21
"2021-12-19","75492",0
"2021-12-19","75493",0
"2021-12-19","75494",11
"2021-12-19","75495",23
"2021-12-19","75496",9
"2021-12-19","75497",7
"2021-12-19","75501",10
"2021-12-19","75503",9
"2021-12-19","75550",0
"2021-12-19","75551",5
"2021-12-19","75554",7
"2021-12-19","75555",0
"2021-12-19","75556",6
"2021-12-19","75558",0
"2021-12-19","75559",8
"2021-12-19","75560",0
"2021-12-19","75561",9
"2021-12-19","75563",7
"2021-12-19","75567",6
"2021-12-19","75568",7
"2021-12-19","75569",11
"2021-12-19","75570",8
"2021-12-19","75571",10
"2021-12-19","75572",9
"2021-12-19","75574",8
"2021-12-19","75601",2
"2021-12-19","75602",4
"2021-12-19","75603",4
"2021-12-19","75604",3
"2021-12-19","75605",5
"2021-12-19","75630",4
"2021-12-19","75631",2
"2021-12-19","75633",6
"2021-12-19","75638",5
"2021-12-19","75639",2
"2021-12-19","75640",2
"2021-12-19","75643",5
"2021-12-19","75644",8
"2021-12-19","75645",4
"2021-12-19","75647",4
"2021-12-19","75650",2
"2021-12-19","75651",0
"2021-12-19","75652",3
"2021-12-19","75654",7
"2021-12-19","75656",3
"2021-12-19","75657",5
"2021-12-19","75661",0
"2021-12-19","75662",2
"2021-12-19","75667",4
"2021-12-19","75668",0
"2021-12-19","75669",0
"2021-12-19","75670",4
"2021-12-19","75672",1
"2021-12-19","75681",4
"2021-12-19","75683",1
"2021-12-19","75684",10
"2021-12-19","75686",7
"2021-12-19","75691",3
"2021-12-19","75692",1
"2021-12-19","75693",3
"2021-12-19","75701",25
"2021-12-19","75702",24
"2021-12-19","75703",21
"2021-12-19","75704",33
"2021-12-19","75705",40
"2021-12-19","75706",20
"2021-12-19","75707",23
"2021-12-19","75708",21
"2021-12-19","75709",19
"2021-12-19","75750",22
"2021-12-19","75751",9
"2021-12-19","75752",14
"2021-12-19","75754",21
"2021-12-19","75755",11
"2021-12-19","75756",24
"2021-12-19","75757",24
"2021-12-19","75758",24
"2021-12-19","75760",33
"2021-12-19","75762",30
"2021-12-19","75763",28
"2021-12-19","75765",13
"2021-12-19","75766",16
"2021-12-19","75770",23
"2021-12-19","75771",26
"2021-12-19","75773",17
"2021-12-19","75778",21
"2021-12-19","75783",7
"2021-12-19","75784",0
"2021-12-19","75785",18
"2021-12-19","75789",19
"2021-12-19","75790",28
"2021-12-19","75791",28
"2021-12-19","75792",8
"2021-12-19","75801",15
"2021-12-19","75803",17
"2021-12-19","75831",1
"2021-12-19","75833",6
"2021-12-19","75835",27
"2021-12-19","75839",15
"2021-12-19","75840",18
"2021-12-19","75844",40
"2021-12-19","75845",5
"2021-12-19","75846",6
"2021-12-19","75847",1
"2021-12-19","75850",0
"2021-12-19","75851",15
"2021-12-19","75852",72
"2021-12-19","75853",0
"2021-12-19","75855",21
"2021-12-19","75859",9
"2021-12-19","75860",26
"2021-12-19","75861",8
"2021-12-19","75862",6
"2021-12-19","75901",14
"2021-12-19","75904",2
"2021-12-19","75925",27
"2021-12-19","75926",2
"2021-12-19","75928",0
"2021-12-19","75929",9
"2021-12-19","75930",1
"2021-12-19","75931",7
"2021-12-19","75932",0
"2021-12-19","75933",5
"2021-12-19","75935",16
"2021-12-19","75936",0
"2021-12-19","75937",0
"2021-12-19","75938",2
"2021-12-19","75939",6
"2021-12-19","75941",5
"2021-12-19","75943",7
"2021-12-19","75944",0
"2021-12-19","75946",6
"2021-12-19","75948",8
"2021-12-19","75949",10
"2021-12-19","75951",13
"2021-12-19","75954",5
"2021-12-19","75956",3
"2021-12-19","75959",0
"2021-12-19","75960",0
"2021-12-19","75961",8
"2021-12-19","75964",11
"2021-12-19","75965",6
"2021-12-19","75966",4
"2021-12-19","75968",82
"2021-12-19","75969",3
"2021-12-19","75972",6
"2021-12-19","75973",12
"2021-12-19","75974",7
"2021-12-19","75975",9
"2021-12-19","75976",4
"2021-12-19","75977",11
"2021-12-19","75979",4
"2021-12-19","75980",1
"2021-12-19","76001",24
"2021-12-19","76002",26
"2021-12-19","76006",17
"2021-12-19","76008",27
"2021-12-19","76009",20
"2021-12-19","76010",20
"2021-12-19","76011",18
"2021-12-19","76012",18
"2021-12-19","76013",19
"2021-12-19","76014",22
"2021-12-19","76015",24
"2021-12-19","76016",20
"2021-12-19","76017",20
"2021-12-19","76018",27
"2021-12-19","76020",17
"2021-12-19","76021",11
"2021-12-19","76022",10
"2021-12-19","76023",7
"2021-12-19","76028",21
"2021-12-19","76031",13
"2021-12-19","76033",15
"2021-12-19","76034",12
"2021-12-19","76035",21
"2021-12-19","76036",17
"2021-12-19","76039",12
"2021-12-19","76040",11
"2021-12-19","76041",0
"2021-12-19","76043",6
"2021-12-19","76044",19
"2021-12-19","76048",10
"2021-12-19","76049",17
"2021-12-19","76050",16
"2021-12-19","76051",8
"2021-12-19","76052",13
"2021-12-19","76053",10
"2021-12-19","76054",9
"2021-12-19","76055",9
"2021-12-19","76058",20
"2021-12-19","76059",12
"2021-12-19","76060",21
"2021-12-19","76061",0
"2021-12-19","76063",26
"2021-12-19","76064",9
"2021-12-19","76065",13
"2021-12-19","76066",19
"2021-12-19","76067",8
"2021-12-19","76070",0
"2021-12-19","76071",6
"2021-12-19","76073",3
"2021-12-19","76077",0
"2021-12-19","76078",4
"2021-12-19","76082",10
"2021-12-19","76084",16
"2021-12-19","76085",22
"2021-12-19","76086",16
"2021-12-19","76087",24
"2021-12-19","76088",20
"2021-12-19","76092",8
"2021-12-19","76093",21
"2021-12-19","76102",18
"2021-12-19","76103",26
"2021-12-19","76104",13
"2021-12-19","76105",19
"2021-12-19","76106",24
"2021-12-19","76107",26
"2021-12-19","76108",27
"2021-12-19","76109",21
"2021-12-19","76110",20
"2021-12-19","76111",23
"2021-12-19","76112",17
"2021-12-19","76114",26
"2021-12-19","76115",18
"2021-12-19","76116",22
"2021-12-19","76117",17
"2021-12-19","76118",6
"2021-12-19","76119",19
"2021-12-19","76120",17
"2021-12-19","76123",21
"2021-12-19","76126",19
"2021-12-19","76131",13
"2021-12-19","76132",17
"2021-12-19","76133",20
"2021-12-19","76134",18
"2021-12-19","76135",36
"2021-12-19","76137",12
"2021-12-19","76140",16
"2021-12-19","76148",10
"2021-12-19","76155",10
"2021-12-19","76164",31
"2021-12-19","76177",9
"2021-12-19","76179",17
"2021-12-19","76180",12
"2021-12-19","76182",10
"2021-12-19","76201",20
"2021-12-19","76205",21
"2021-12-19","76207",19
"2021-12-19","76208",18
"2021-12-19","76209",20
"2021-12-19","76210",16
"2021-12-19","76225",2
"2021-12-19","76226",17
"2021-12-19","76227",17
"2021-12-19","76228",0
"2021-12-19","76230",3
"2021-12-19","76233",20
"2021-12-19","76234",4
"2021-12-19","76239",0
"2021-12-19","76240",12
"2021-12-19","76244",12
"2021-12-19","76245",28
"2021-12-19","76247",15
"2021-12-19","76248",13
"2021-12-19","76249",24
"2021-12-19","76250",0
"2021-12-19","76251",0
"2021-12-19","76252",14
"2021-12-19","76253",0
"2021-12-19","76255",8
"2021-12-19","76258",18
"2021-12-19","76259",21
"2021-12-19","76261",0
"2021-12-19","76262",11
"2021-12-19","76263",0
"2021-12-19","76264",19
"2021-12-19","76265",14
"2021-12-19","76266",20
"2021-12-19","76270",7
"2021-12-19","76271",24
"2021-12-19","76272",17
"2021-12-19","76273",16
"2021-12-19","76301",19
"2021-12-19","76302",20
"2021-12-19","76305",23
"2021-12-19","76306",23
"2021-12-19","76308",22
"2021-12-19","76309",21
"2021-12-19","76310",21
"2021-12-19","76311",9
"2021-12-19","76351",23
"2021-12-19","76354",23
"2021-12-19","76357",0
"2021-12-19","76360",23
"2021-12-19","76365",8
"2021-12-19","76366",23
"2021-12-19","76367",19
"2021-12-19","76371",0
"2021-12-19","76372",0
"2021-12-19","76373",0
"2021-12-19","76374",14
"2021-12-19","76377",0
"2021-12-19","76379",0
"2021-12-19","76380",6
"2021-12-19","76384",12
"2021-12-19","76388",0
"2021-12-19","76389",0
"2021-12-19","76401",15
"2021-12-19","76424",5
"2021-12-19","76426",8
"2021-12-19","76427",0
"2021-12-19","76430",0
"2021-12-19","76431",4
"2021-12-19","76432",0
"2021-12-19","76433",11
"2021-12-19","76435",22
"2021-12-19","76436",0
"2021-12-19","76437",5
"2021-12-19","76442",4
"2021-12-19","76443",2
"2021-12-19","76444",14
"2021-12-19","76445",0
"2021-12-19","76446",11
"2021-12-19","76448",7
"2021-12-19","76449",10
"2021-12-19","76450",12
"2021-12-19","76453",9
"2021-12-19","76454",13
"2021-12-19","76457",7
"2021-12-19","76458",10
"2021-12-19","76459",0
"2021-12-19","76460",0
"2021-12-19","76462",15
"2021-12-19","76464",0
"2021-12-19","76470",5
"2021-12-19","76471",1
"2021-12-19","76472",10
"2021-12-19","76475",0
"2021-12-19","76476",11
"2021-12-19","76483",24
"2021-12-19","76484",0
"2021-12-19","76486",0
"2021-12-19","76487",15
"2021-12-19","76491",0
"2021-12-19","76501",37
"2021-12-19","76502",35
"2021-12-19","76504",37
"2021-12-19","76511",26
"2021-12-19","76513",41
"2021-12-19","76518",44
"2021-12-19","76519",0
"2021-12-19","76520",37
"2021-12-19","76522",9
"2021-12-19","76524",20
"2021-12-19","76525",0
"2021-12-19","76527",10
"2021-12-19","76528",11
"2021-12-19","76530",6
"2021-12-19","76531",3
"2021-12-19","76534",44
"2021-12-19","76537",8
"2021-12-19","76538",0
"2021-12-19","76539",9
"2021-12-19","76541",14
"2021-12-19","76542",17
"2021-12-19","76543",29
"2021-12-19","76544",25
"2021-12-19","76548",17
"2021-12-19","76549",14
"2021-12-19","76550",12
"2021-12-19","76554",44
"2021-12-19","76556",44
"2021-12-19","76557",31
"2021-12-19","76559",34
"2021-12-19","76561",0
"2021-12-19","76567",15
"2021-12-19","76569",44
"2021-12-19","76570",27
"2021-12-19","76571",33
"2021-12-19","76574",6
"2021-12-19","76577",8
"2021-12-19","76578",11
"2021-12-19","76579",33
"2021-12-19","76621",0
"2021-12-19","76622",1
"2021-12-19","76624",10
"2021-12-19","76626",9
"2021-12-19","76627",30
"2021-12-19","76629",0
"2021-12-19","76630",7
"2021-12-19","76631",0
"2021-12-19","76632",13
"2021-12-19","76633",7
"2021-12-19","76634",8
"2021-12-19","76635",2
"2021-12-19","76636",20
"2021-12-19","76637",0
"2021-12-19","76638",10
"2021-12-19","76639",13
"2021-12-19","76640",14
"2021-12-19","76641",7
"2021-12-19","76642",7
"2021-12-19","76643",8
"2021-12-19","76645",5
"2021-12-19","76648",6
"2021-12-19","76649",0
"2021-12-19","76651",15
"2021-12-19","76652",0
"2021-12-19","76653",0
"2021-12-19","76655",8
"2021-12-19","76656",44
"2021-12-19","76657",7
"2021-12-19","76660",0
"2021-12-19","76661",10
"2021-12-19","76664",5
"2021-12-19","76665",18
"2021-12-19","76666",0
"2021-12-19","76667",16
"2021-12-19","76670",14
"2021-12-19","76671",14
"2021-12-19","76673",3
"2021-12-19","76678",0
"2021-12-19","76679",5
"2021-12-19","76680",0
"2021-12-19","76682",12
"2021-12-19","76686",0
"2021-12-19","76687",18
"2021-12-19","76689",5
"2021-12-19","76690",0
"2021-12-19","76691",8
"2021-12-19","76692",12
"2021-12-19","76693",0
"2021-12-19","76701",7
"2021-12-19","76704",5
"2021-12-19","76705",8
"2021-12-19","76706",5
"2021-12-19","76707",2
"2021-12-19","76708",8
"2021-12-19","76710",7
"2021-12-19","76711",8
"2021-12-19","76712",10
"2021-12-19","76801",4
"2021-12-19","76802",4
"2021-12-19","76820",0
"2021-12-19","76821",11
"2021-12-19","76823",4
"2021-12-19","76825",13
"2021-12-19","76832",0
"2021-12-19","76834",6
"2021-12-19","76837",15
"2021-12-19","76841",0
"2021-12-19","76844",2
"2021-12-19","76849",13
"2021-12-19","76852",0
"2021-12-19","76853",6
"2021-12-19","76854",0
"2021-12-19","76856",31
"2021-12-19","76857",2
"2021-12-19","76859",15
"2021-12-19","76861",15
"2021-12-19","76864",0
"2021-12-19","76865",0
"2021-12-19","76866",0
"2021-12-19","76870",0
"2021-12-19","76871",0
"2021-12-19","76872",0
"2021-12-19","76875",0
"2021-12-19","76877",4
"2021-12-19","76878",3
"2021-12-19","76885",0
"2021-12-19","76890",0
"2021-12-19","76901",14
"2021-12-19","76903",16
"2021-12-19","76904",13
"2021-12-19","76905",15
