"COLLECTION_WEEK","THCIC_ID","inpatient_beds_7_day_avg_interp"
"2021-02-07","000102",602
"2021-02-07","000105",798
"2021-02-07","000112",58
"2021-02-07","001000",320
"2021-02-07","006000",41
"2021-02-07","007000",513
"2021-02-07","008001",0
"2021-02-07","014000",30
"2021-02-07","019000",203
"2021-02-07","023000",28
"2021-02-07","026000",24
"2021-02-07","029000",53
"2021-02-07","030000",25
"2021-02-07","034000",56
"2021-02-07","035000",496
"2021-02-07","038001",32
"2021-02-07","041000",0
"2021-02-07","044000",50
"2021-02-07","046000",22
"2021-02-07","047000",277
"2021-02-07","049000",24
"2021-02-07","058000",0
"2021-02-07","059000",10
"2021-02-07","061000",84
"2021-02-07","063000",49
"2021-02-07","064000",337
"2021-02-07","066000",0
"2021-02-07","070000",31
"2021-02-07","072000",0
"2021-02-07","074000",52
"2021-02-07","075000",21
"2021-02-07","076000",157
"2021-02-07","078000",40
"2021-02-07","084000",37
"2021-02-07","085000",139
"2021-02-07","089001",0
"2021-02-07","091001",0
"2021-02-07","094000",0
"2021-02-07","095003",164
"2021-02-07","098000",22
"2021-02-07","100093",0
"2021-02-07","103000",33
"2021-02-07","106001",36
"2021-02-07","106100",0
"2021-02-07","113000",14
"2021-02-07","114001",1815
"2021-02-07","117000",793
"2021-02-07","118000",457
"2021-02-07","124000",889
"2021-02-07","124100",36
"2021-02-07","129000",149
"2021-02-07","130000",211
"2021-02-07","137000",81
"2021-02-07","140002",790
"2021-02-07","141000",39
"2021-02-07","142000",296
"2021-02-07","143000",329
"2021-02-07","143001",63
"2021-02-07","144000",144
"2021-02-07","145000",493
"2021-02-07","146000",88
"2021-02-07","151000",0
"2021-02-07","154000",2113
"2021-02-07","155000",169
"2021-02-07","156000",38
"2021-02-07","158000",781
"2021-02-07","168000",627
"2021-02-07","180000",0
"2021-02-07","181000",247
"2021-02-07","182000",166
"2021-02-07","187000",28
"2021-02-07","193000",18
"2021-02-07","199000",18
"2021-02-07","206100",162
"2021-02-07","207001",255
"2021-02-07","208100",10
"2021-02-07","212000",512
"2021-02-07","214000",519
"2021-02-07","216001",57
"2021-02-07","217000",26
"2021-02-07","219000",94
"2021-02-07","222000",35
"2021-02-07","228001",317
"2021-02-07","229000",253
"2021-02-07","230000",107
"2021-02-07","235000",631
"2021-02-07","246000",248
"2021-02-07","255000",309
"2021-02-07","256000",46
"2021-02-07","262000",19
"2021-02-07","263000",427
"2021-02-07","266000",190
"2021-02-07","285000",111
"2021-02-07","286000",596
"2021-02-07","294000",27
"2021-02-07","297000",111
"2021-02-07","298000",34
"2021-02-07","301000",130
"2021-02-07","302000",463
"2021-02-07","303000",40
"2021-02-07","307000",23
"2021-02-07","314001",201
"2021-02-07","315003",133
"2021-02-07","318000",312
"2021-02-07","319000",0
"2021-02-07","323000",58
"2021-02-07","331000",712
"2021-02-07","332000",280
"2021-02-07","336001",155
"2021-02-07","337001",188
"2021-02-07","339001",474
"2021-02-07","340000",774
"2021-02-07","341000",11
"2021-02-07","346000",11
"2021-02-07","347000",1472
"2021-02-07","348000",18
"2021-02-07","349001",247
"2021-02-07","356000",25
"2021-02-07","357000",24
"2021-02-07","363000",280
"2021-02-07","370000",229
"2021-02-07","383000",26
"2021-02-07","388000",0
"2021-02-07","389000",309
"2021-02-07","390000",63
"2021-02-07","392000",164
"2021-02-07","393000",34
"2021-02-07","394000",235
"2021-02-07","395000",0
"2021-02-07","397000",27
"2021-02-07","397001",128
"2021-02-07","405000",260
"2021-02-07","406000",139
"2021-02-07","407000",1526
"2021-02-07","417000",278
"2021-02-07","420000",27
"2021-02-07","422000",247
"2021-02-07","424000",63
"2021-02-07","424500",0
"2021-02-07","425000",228
"2021-02-07","426000",41
"2021-02-07","427000",55
"2021-02-07","429001",77
"2021-02-07","430000",19
"2021-02-07","431000",548
"2021-02-07","433000",55
"2021-02-07","436000",60
"2021-02-07","437000",115
"2021-02-07","439000",18
"2021-02-07","441000",29
"2021-02-07","444001",250
"2021-02-07","446001",33
"2021-02-07","449000",40
"2021-02-07","452000",317
"2021-02-07","453000",255
"2021-02-07","459000",605
"2021-02-07","462000",41
"2021-02-07","465000",403
"2021-02-07","466000",28
"2021-02-07","468000",56
"2021-02-07","469000",38
