"COLLECTION_WEEK","THCIC_ID","inpatient_beds_7_day_avg_interp"
"2021-03-07","000102",624
"2021-03-07","000105",798
"2021-03-07","000112",37
"2021-03-07","001000",327
"2021-03-07","006000",35
"2021-03-07","007000",513
"2021-03-07","008001",0
"2021-03-07","014000",27
"2021-03-07","019000",194
"2021-03-07","023000",26
"2021-03-07","026000",24
"2021-03-07","029000",53
"2021-03-07","030000",37
"2021-03-07","034000",56
"2021-03-07","035000",517
"2021-03-07","038001",34
"2021-03-07","041000",0
"2021-03-07","044000",51
"2021-03-07","046000",19
"2021-03-07","047000",278
"2021-03-07","049000",22
"2021-03-07","058000",0
"2021-03-07","059000",10
"2021-03-07","061000",83
"2021-03-07","063000",45
"2021-03-07","064000",354
"2021-03-07","066000",0
"2021-03-07","070000",31
"2021-03-07","072000",0
"2021-03-07","074000",47
"2021-03-07","075000",23
"2021-03-07","076000",156
"2021-03-07","078000",37
"2021-03-07","084000",76
"2021-03-07","085000",121
"2021-03-07","089001",0
"2021-03-07","091001",0
"2021-03-07","094000",0
"2021-03-07","095003",162
"2021-03-07","098000",24
"2021-03-07","100093",0
"2021-03-07","103000",40
"2021-03-07","106001",33
"2021-03-07","106100",0
"2021-03-07","113000",8
"2021-03-07","114001",1733
"2021-03-07","117000",791
"2021-03-07","118000",480
"2021-03-07","124000",910
"2021-03-07","124100",26
"2021-03-07","129000",151
"2021-03-07","130000",181
"2021-03-07","137000",76
"2021-03-07","140002",842
"2021-03-07","141000",29
"2021-03-07","142000",284
"2021-03-07","143000",328
"2021-03-07","143001",66
"2021-03-07","144000",141
"2021-03-07","145000",510
"2021-03-07","146000",92
"2021-03-07","151000",0
"2021-03-07","154000",2111
"2021-03-07","155000",167
"2021-03-07","156000",41
"2021-03-07","158000",782
"2021-03-07","168000",626
"2021-03-07","180000",0
"2021-03-07","181000",248
"2021-03-07","182000",161
"2021-03-07","187000",34
"2021-03-07","193000",19
"2021-03-07","199000",18
"2021-03-07","206100",160
"2021-03-07","207001",229
"2021-03-07","208100",17
"2021-03-07","212000",523
"2021-03-07","214000",516
"2021-03-07","216001",56
"2021-03-07","217000",21
"2021-03-07","219000",97
"2021-03-07","222000",29
"2021-03-07","228001",318
"2021-03-07","229000",235
"2021-03-07","230000",109
"2021-03-07","235000",631
"2021-03-07","246000",215
"2021-03-07","255000",318
"2021-03-07","256000",49
"2021-03-07","262000",21
"2021-03-07","263000",434
"2021-03-07","266000",190
"2021-03-07","285000",108
"2021-03-07","286000",602
"2021-03-07","294000",31
"2021-03-07","297000",95
"2021-03-07","298000",40
"2021-03-07","301000",150
"2021-03-07","302000",463
"2021-03-07","303000",37
"2021-03-07","307000",21
"2021-03-07","314001",185
"2021-03-07","315003",103
"2021-03-07","318000",289
"2021-03-07","319000",0
"2021-03-07","323000",50
"2021-03-07","331000",653
"2021-03-07","332000",298
"2021-03-07","336001",137
"2021-03-07","337001",205
"2021-03-07","339001",469
"2021-03-07","340000",779
"2021-03-07","341000",12
"2021-03-07","346000",11
"2021-03-07","347000",1472
"2021-03-07","348000",18
"2021-03-07","349001",227
"2021-03-07","356000",16
"2021-03-07","357000",24
"2021-03-07","363000",280
"2021-03-07","370000",233
"2021-03-07","383000",25
"2021-03-07","388000",0
"2021-03-07","389000",313
"2021-03-07","390000",62
"2021-03-07","392000",146
"2021-03-07","393000",32
"2021-03-07","394000",228
"2021-03-07","395000",0
"2021-03-07","397000",21
"2021-03-07","397001",119
"2021-03-07","405000",251
"2021-03-07","406000",138
"2021-03-07","407000",1526
"2021-03-07","417000",273
"2021-03-07","420000",26
"2021-03-07","422000",264
"2021-03-07","424000",68
"2021-03-07","424500",0
"2021-03-07","425000",205
"2021-03-07","426000",55
"2021-03-07","427000",50
"2021-03-07","429001",79
"2021-03-07","430000",18
"2021-03-07","431000",542
"2021-03-07","433000",56
"2021-03-07","436000",61
"2021-03-07","437000",104
"2021-03-07","439000",15
"2021-03-07","441000",28
"2021-03-07","444001",250
"2021-03-07","446001",35
"2021-03-07","449000",57
"2021-03-07","452000",296
"2021-03-07","453000",236
"2021-03-07","459000",581
"2021-03-07","462000",49
"2021-03-07","465000",371
"2021-03-07","466000",26
"2021-03-07","468000",69
"2021-03-07","469000",41
"2021-03-07","471000",37
