"COLLECTION_WEEK","ZCTA","IP_COV_DEMAND"
"2021-03-21","75001",15
"2021-03-21","75002",12
"2021-03-21","75006",13
"2021-03-21","75007",11
"2021-03-21","75009",35
"2021-03-21","75010",12
"2021-03-21","75013",13
"2021-03-21","75019",13
"2021-03-21","75020",7
"2021-03-21","75021",8
"2021-03-21","75022",11
"2021-03-21","75023",18
"2021-03-21","75024",13
"2021-03-21","75025",14
"2021-03-21","75028",10
"2021-03-21","75032",14
"2021-03-21","75034",10
"2021-03-21","75035",10
"2021-03-21","75038",7
"2021-03-21","75039",10
"2021-03-21","75040",11
"2021-03-21","75041",16
"2021-03-21","75042",13
"2021-03-21","75043",17
"2021-03-21","75044",7
"2021-03-21","75048",7
"2021-03-21","75050",14
"2021-03-21","75051",17
"2021-03-21","75052",19
"2021-03-21","75054",23
"2021-03-21","75056",11
"2021-03-21","75057",9
"2021-03-21","75058",25
"2021-03-21","75060",6
"2021-03-21","75061",5
"2021-03-21","75062",5
"2021-03-21","75063",13
"2021-03-21","75065",11
"2021-03-21","75067",10
"2021-03-21","75068",10
"2021-03-21","75069",18
"2021-03-21","75070",30
"2021-03-21","75071",35
"2021-03-21","75074",16
"2021-03-21","75075",21
"2021-03-21","75076",12
"2021-03-21","75077",9
"2021-03-21","75078",25
"2021-03-21","75080",17
"2021-03-21","75081",15
"2021-03-21","75082",6
"2021-03-21","75087",13
"2021-03-21","75088",16
"2021-03-21","75089",11
"2021-03-21","75090",7
"2021-03-21","75092",8
"2021-03-21","75093",15
"2021-03-21","75094",12
"2021-03-21","75098",12
"2021-03-21","75102",11
"2021-03-21","75103",22
"2021-03-21","75104",22
"2021-03-21","75105",0
"2021-03-21","75109",8
"2021-03-21","75110",10
"2021-03-21","75114",20
"2021-03-21","75115",22
"2021-03-21","75116",24
"2021-03-21","75117",28
"2021-03-21","75119",15
"2021-03-21","75124",12
"2021-03-21","75125",19
"2021-03-21","75126",15
"2021-03-21","75127",5
"2021-03-21","75134",22
"2021-03-21","75135",11
"2021-03-21","75137",23
"2021-03-21","75140",21
"2021-03-21","75141",23
"2021-03-21","75142",17
"2021-03-21","75143",8
"2021-03-21","75144",7
"2021-03-21","75146",21
"2021-03-21","75147",10
"2021-03-21","75148",8
"2021-03-21","75149",20
"2021-03-21","75150",23
"2021-03-21","75152",16
"2021-03-21","75154",17
"2021-03-21","75155",12
"2021-03-21","75156",14
"2021-03-21","75157",0
"2021-03-21","75158",25
"2021-03-21","75159",23
"2021-03-21","75160",19
"2021-03-21","75161",22
"2021-03-21","75163",5
"2021-03-21","75165",16
"2021-03-21","75166",9
"2021-03-21","75167",17
"2021-03-21","75169",18
"2021-03-21","75172",24
"2021-03-21","75173",13
"2021-03-21","75180",19
"2021-03-21","75181",13
"2021-03-21","75182",15
"2021-03-21","75189",13
"2021-03-21","75201",31
"2021-03-21","75202",41
"2021-03-21","75203",20
"2021-03-21","75204",44
"2021-03-21","75205",30
"2021-03-21","75206",33
"2021-03-21","75207",13
"2021-03-21","75208",17
"2021-03-21","75209",15
"2021-03-21","75210",38
"2021-03-21","75211",18
"2021-03-21","75212",13
"2021-03-21","75214",42
"2021-03-21","75215",35
"2021-03-21","75216",28
"2021-03-21","75217",29
"2021-03-21","75218",27
"2021-03-21","75219",19
"2021-03-21","75220",21
"2021-03-21","75223",41
"2021-03-21","75224",23
"2021-03-21","75225",27
"2021-03-21","75226",45
"2021-03-21","75227",32
"2021-03-21","75228",24
"2021-03-21","75229",16
"2021-03-21","75230",26
"2021-03-21","75231",25
"2021-03-21","75232",23
"2021-03-21","75233",22
"2021-03-21","75234",13
"2021-03-21","75235",22
"2021-03-21","75236",23
"2021-03-21","75237",25
"2021-03-21","75238",24
"2021-03-21","75240",24
"2021-03-21","75241",26
"2021-03-21","75243",25
"2021-03-21","75244",17
"2021-03-21","75246",57
"2021-03-21","75247",7
"2021-03-21","75248",18
"2021-03-21","75249",22
"2021-03-21","75251",20
"2021-03-21","75252",16
"2021-03-21","75253",21
"2021-03-21","75254",18
"2021-03-21","75287",16
"2021-03-21","75401",9
"2021-03-21","75402",8
"2021-03-21","75407",19
"2021-03-21","75409",30
"2021-03-21","75410",15
"2021-03-21","75411",0
"2021-03-21","75414",12
"2021-03-21","75415",0
"2021-03-21","75416",8
"2021-03-21","75417",7
"2021-03-21","75418",8
"2021-03-21","75420",0
"2021-03-21","75421",0
"2021-03-21","75422",8
"2021-03-21","75423",13
"2021-03-21","75424",26
"2021-03-21","75426",10
"2021-03-21","75428",6
"2021-03-21","75431",20
"2021-03-21","75432",8
"2021-03-21","75433",9
"2021-03-21","75435",19
"2021-03-21","75436",8
"2021-03-21","75437",6
"2021-03-21","75438",7
"2021-03-21","75439",0
"2021-03-21","75440",9
"2021-03-21","75442",21
"2021-03-21","75446",4
"2021-03-21","75447",7
"2021-03-21","75448",0
"2021-03-21","75449",7
"2021-03-21","75450",0
"2021-03-21","75451",5
"2021-03-21","75452",12
"2021-03-21","75453",6
"2021-03-21","75454",24
"2021-03-21","75455",9
"2021-03-21","75457",8
"2021-03-21","75459",14
"2021-03-21","75460",6
"2021-03-21","75462",6
"2021-03-21","75468",16
"2021-03-21","75469",0
"2021-03-21","75470",0
"2021-03-21","75471",6
"2021-03-21","75472",9
"2021-03-21","75473",7
"2021-03-21","75474",10
"2021-03-21","75476",22
"2021-03-21","75477",0
"2021-03-21","75478",0
"2021-03-21","75479",6
"2021-03-21","75480",12
"2021-03-21","75481",0
"2021-03-21","75482",11
"2021-03-21","75486",11
"2021-03-21","75487",8
"2021-03-21","75488",6
"2021-03-21","75489",16
"2021-03-21","75490",24
"2021-03-21","75491",19
"2021-03-21","75492",0
"2021-03-21","75493",0
"2021-03-21","75494",15
"2021-03-21","75495",22
