"COLLECTION_WEEK","ZCTA","IP_COV_DEMAND"
"2022-06-12","75001",6
"2022-06-12","75002",5
"2022-06-12","75006",7
"2022-06-12","75007",6
"2022-06-12","75009",13
"2022-06-12","75010",10
"2022-06-12","75013",7
"2022-06-12","75019",17
"2022-06-12","75020",7
"2022-06-12","75021",8
"2022-06-12","75022",7
"2022-06-12","75023",7
"2022-06-12","75024",8
"2022-06-12","75025",17
"2022-06-12","75028",5
"2022-06-12","75032",9
"2022-06-12","75034",11
"2022-06-12","75035",10
"2022-06-12","75038",7
"2022-06-12","75039",6
"2022-06-12","75040",3
"2022-06-12","75041",6
"2022-06-12","75042",4
"2022-06-12","75043",6
"2022-06-12","75044",1
"2022-06-12","75048",1
"2022-06-12","75050",8
"2022-06-12","75051",11
"2022-06-12","75052",14
"2022-06-12","75054",20
"2022-06-12","75056",7
"2022-06-12","75057",3
"2022-06-12","75058",17
"2022-06-12","75060",4
"2022-06-12","75061",7
"2022-06-12","75062",4
"2022-06-12","75063",3
"2022-06-12","75065",5
"2022-06-12","75067",5
"2022-06-12","75068",7
"2022-06-12","75069",9
"2022-06-12","75070",15
"2022-06-12","75071",19
"2022-06-12","75074",2
"2022-06-12","75075",8
"2022-06-12","75076",8
"2022-06-12","75077",5
"2022-06-12","75078",18
"2022-06-12","75080",8
"2022-06-12","75081",2
"2022-06-12","75082",0
"2022-06-12","75087",8
"2022-06-12","75088",11
"2022-06-12","75089",3
"2022-06-12","75090",9
"2022-06-12","75092",7
"2022-06-12","75093",7
"2022-06-12","75094",0
"2022-06-12","75098",5
"2022-06-12","75102",4
"2022-06-12","75103",11
"2022-06-12","75104",17
"2022-06-12","75105",0
"2022-06-12","75109",0
"2022-06-12","75110",0
"2022-06-12","75114",0
"2022-06-12","75115",11
"2022-06-12","75116",15
"2022-06-12","75117",13
"2022-06-12","75119",3
"2022-06-12","75124",8
"2022-06-12","75125",0
"2022-06-12","75126",7
"2022-06-12","75127",0
"2022-06-12","75134",8
"2022-06-12","75135",6
"2022-06-12","75137",14
"2022-06-12","75140",4
"2022-06-12","75141",0
"2022-06-12","75142",8
"2022-06-12","75143",10
"2022-06-12","75144",25
"2022-06-12","75146",14
"2022-06-12","75147",4
"2022-06-12","75148",5
"2022-06-12","75149",10
"2022-06-12","75150",13
"2022-06-12","75152",5
"2022-06-12","75154",19
"2022-06-12","75155",0
"2022-06-12","75156",10
"2022-06-12","75157",0
"2022-06-12","75158",0
"2022-06-12","75159",14
"2022-06-12","75160",7
"2022-06-12","75161",11
"2022-06-12","75163",0
"2022-06-12","75165",10
"2022-06-12","75166",7
"2022-06-12","75167",5
"2022-06-12","75169",7
"2022-06-12","75172",26
"2022-06-12","75173",6
"2022-06-12","75180",7
"2022-06-12","75181",9
"2022-06-12","75182",0
"2022-06-12","75189",11
"2022-06-12","75201",5
"2022-06-12","75202",0
"2022-06-12","75203",20
"2022-06-12","75204",20
"2022-06-12","75205",11
"2022-06-12","75206",14
"2022-06-12","75207",13
"2022-06-12","75208",12
"2022-06-12","75209",4
"2022-06-12","75210",10
"2022-06-12","75211",13
"2022-06-12","75212",10
"2022-06-12","75214",17
"2022-06-12","75215",23
"2022-06-12","75216",13
"2022-06-12","75217",12
"2022-06-12","75218",12
"2022-06-12","75219",2
"2022-06-12","75220",9
"2022-06-12","75223",20
"2022-06-12","75224",12
"2022-06-12","75225",9
"2022-06-12","75226",14
"2022-06-12","75227",13
