"COLLECTION_WEEK","ZCTA","IP_COV_DEMAND"
"2020-09-13","75001",13
"2020-09-13","75002",9
"2020-09-13","75006",17
"2020-09-13","75007",13
"2020-09-13","75009",20
"2020-09-13","75010",10
"2020-09-13","75013",17
"2020-09-13","75019",20
"2020-09-13","75020",37
"2020-09-13","75021",33
"2020-09-13","75022",21
"2020-09-13","75023",16
"2020-09-13","75024",27
"2020-09-13","75025",12
"2020-09-13","75028",6
"2020-09-13","75032",23
"2020-09-13","75034",12
"2020-09-13","75035",10
"2020-09-13","75038",10
"2020-09-13","75039",8
"2020-09-13","75040",19
"2020-09-13","75041",29
"2020-09-13","75042",21
"2020-09-13","75043",49
"2020-09-13","75044",14
"2020-09-13","75048",11
"2020-09-13","75050",23
"2020-09-13","75051",25
"2020-09-13","75052",26
"2020-09-13","75054",87
"2020-09-13","75056",12
"2020-09-13","75057",4
"2020-09-13","75058",14
"2020-09-13","75060",15
"2020-09-13","75061",11
"2020-09-13","75062",18
"2020-09-13","75063",4
"2020-09-13","75065",12
"2020-09-13","75067",9
"2020-09-13","75068",9
"2020-09-13","75069",8
"2020-09-13","75070",27
"2020-09-13","75071",12
"2020-09-13","75074",13
"2020-09-13","75075",17
"2020-09-13","75076",31
"2020-09-13","75077",6
"2020-09-13","75078",23
"2020-09-13","75080",34
"2020-09-13","75081",19
"2020-09-13","75082",2
"2020-09-13","75087",18
"2020-09-13","75088",29
"2020-09-13","75089",30
"2020-09-13","75090",32
"2020-09-13","75092",27
"2020-09-13","75093",13
"2020-09-13","75094",7
"2020-09-13","75098",16
"2020-09-13","75102",7
"2020-09-13","75103",31
"2020-09-13","75104",43
"2020-09-13","75105",0
"2020-09-13","75109",15
"2020-09-13","75110",14
"2020-09-13","75114",37
"2020-09-13","75115",41
"2020-09-13","75116",33
"2020-09-13","75117",24
"2020-09-13","75119",13
"2020-09-13","75124",20
"2020-09-13","75125",70
"2020-09-13","75126",53
"2020-09-13","75127",24
"2020-09-13","75134",30
"2020-09-13","75135",12
"2020-09-13","75137",36
"2020-09-13","75140",21
"2020-09-13","75141",41
"2020-09-13","75142",37
"2020-09-13","75143",41
"2020-09-13","75144",7
"2020-09-13","75146",56
"2020-09-13","75147",40
"2020-09-13","75148",12
"2020-09-13","75149",41
"2020-09-13","75150",58
"2020-09-13","75152",11
"2020-09-13","75154",24
"2020-09-13","75155",13
"2020-09-13","75156",38
"2020-09-13","75157",0
"2020-09-13","75158",6
"2020-09-13","75159",49
"2020-09-13","75160",27
"2020-09-13","75161",71
"2020-09-13","75163",14
"2020-09-13","75165",19
"2020-09-13","75166",7
"2020-09-13","75167",14
"2020-09-13","75169",22
"2020-09-13","75172",46
"2020-09-13","75173",18
"2020-09-13","75180",68
"2020-09-13","75181",58
"2020-09-13","75182",29
"2020-09-13","75189",35
"2020-09-13","75201",125
"2020-09-13","75202",12
"2020-09-13","75203",52
"2020-09-13","75204",79
"2020-09-13","75205",77
"2020-09-13","75206",83
"2020-09-13","75207",32
"2020-09-13","75208",35
"2020-09-13","75209",35
"2020-09-13","75210",133
"2020-09-13","75211",31
"2020-09-13","75212",33
"2020-09-13","75214",93
"2020-09-13","75215",135
"2020-09-13","75216",56
"2020-09-13","75217",112
"2020-09-13","75218",51
"2020-09-13","75219",87
"2020-09-13","75220",25
"2020-09-13","75223",173
"2020-09-13","75224",41
"2020-09-13","75225",52
"2020-09-13","75226",159
"2020-09-13","75227",104
"2020-09-13","75228",75
"2020-09-13","75229",30
"2020-09-13","75230",36
"2020-09-13","75231",38
"2020-09-13","75232",34
"2020-09-13","75233",56
"2020-09-13","75234",14
"2020-09-13","75235",39
"2020-09-13","75236",39
"2020-09-13","75237",33
"2020-09-13","75238",51
"2020-09-13","75240",38
"2020-09-13","75241",62
"2020-09-13","75243",35
"2020-09-13","75244",79
"2020-09-13","75246",248
"2020-09-13","75247",8
"2020-09-13","75248",22
"2020-09-13","75249",33
"2020-09-13","75251",24
"2020-09-13","75252",26
"2020-09-13","75253",66
"2020-09-13","75254",15
"2020-09-13","75287",17
"2020-09-13","75401",15
"2020-09-13","75402",22
"2020-09-13","75407",10
"2020-09-13","75409",12
"2020-09-13","75410",21
"2020-09-13","75411",10
"2020-09-13","75414",35
"2020-09-13","75415",0
"2020-09-13","75416",16
"2020-09-13","75417",8
"2020-09-13","75418",30
"2020-09-13","75420",17
"2020-09-13","75421",0
"2020-09-13","75422",14
"2020-09-13","75423",15
"2020-09-13","75424",14
"2020-09-13","75426",27
"2020-09-13","75428",12
"2020-09-13","75431",8
"2020-09-13","75432",9
"2020-09-13","75433",11
"2020-09-13","75435",10
"2020-09-13","75436",0
"2020-09-13","75437",9
"2020-09-13","75438",0
"2020-09-13","75439",0
"2020-09-13","75440",62
"2020-09-13","75442",13
"2020-09-13","75446",12
"2020-09-13","75447",30
"2020-09-13","75448",0
"2020-09-13","75449",0
"2020-09-13","75450",0
"2020-09-13","75451",0
"2020-09-13","75452",21
"2020-09-13","75453",9
"2020-09-13","75454",11
"2020-09-13","75455",14
"2020-09-13","75457",20
"2020-09-13","75459",32
"2020-09-13","75460",15
"2020-09-13","75462",10
"2020-09-13","75468",10
"2020-09-13","75469",0
"2020-09-13","75470",0
"2020-09-13","75471",0
"2020-09-13","75472",12
"2020-09-13","75473",14
"2020-09-13","75474",32
"2020-09-13","75476",0
"2020-09-13","75477",0
"2020-09-13","75478",0
"2020-09-13","75479",35
"2020-09-13","75480",15
"2020-09-13","75481",0
"2020-09-13","75482",12
"2020-09-13","75486",11
"2020-09-13","75487",20
"2020-09-13","75488",35
"2020-09-13","75489",35
"2020-09-13","75490",9
"2020-09-13","75491",32
"2020-09-13","75492",0
"2020-09-13","75493",0
"2020-09-13","75494",20
"2020-09-13","75495",20
"2020-09-13","75496",7
"2020-09-13","75497",19
"2020-09-13","75501",58
"2020-09-13","75503",59
"2020-09-13","75550",0
"2020-09-13","75551",49
"2020-09-13","75554",43
"2020-09-13","75555",76
"2020-09-13","75556",28
"2020-09-13","75558",0
"2020-09-13","75559",49
"2020-09-13","75560",0
"2020-09-13","75561",47
"2020-09-13","75563",38
"2020-09-13","75567",68
"2020-09-13","75568",17
"2020-09-13","75569",66
"2020-09-13","75570",55
"2020-09-13","75571",12
"2020-09-13","75572",61
"2020-09-13","75574",5
"2020-09-13","75601",8
"2020-09-13","75602",6
"2020-09-13","75603",11
"2020-09-13","75604",9
"2020-09-13","75605",9
"2020-09-13","75630",16
"2020-09-13","75631",14
"2020-09-13","75633",11
